model,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,N_events_before_ECAL_primary,N_events_before_ECAL_cascade,N_events_before_ECAL_inclusive,valid_mother_samples,samples_passing_ECAL,template_model_seed
ALP-SU2L,0.3,547.0962325011368,3.0,4.978034645841465e-10,10.001252767402164,14.263459587962345,0.7011800121649818,True,,,10.001252767402164,,,14.263459587962345,613269,462344,54421
ALP-SU2L,0.3,547.1139515818321,3.0,4.977873424952584e-10,10.000605121532379,14.262535994085004,0.7011800093391425,True,,,10.000605121532379,,,14.262535994085004,613269,462344,54421
ALP-SU2L,0.3,547.1316712364041,3.0,4.977712209285075e-10,9.999957517596872,14.261612460003747,0.7011800065133901,False,,,9.999957517596872,,,14.261612460003747,613269,462344,54421
ALP-SU2L,0.3,547.167112267253,3.0,4.9773897936135e-10,9.998662435517854,14.25976557121401,0.701180000862147,False,,,9.998662435517854,,,14.25976557121401,613269,462344,54421
ALP-SU2L,0.3,547.2380012162897,3.0,4.976745024919382e-10,9.996072774451738,14.256072511017306,0.7011799895607029,False,,,9.996072774451738,,,14.256072511017306,613269,462344,54421
ALP-SU2L,0.3,547.5216488654388,3.0,4.974166785265009e-10,9.9857208348962,14.241309830795068,0.701179944368833,False,,,9.9857208348962,,,14.241309830795068,613269,462344,54421
ALP-SU2L,0.3,565.984259591258,3.0,4.811907670306636e-10,9.345015587433123,13.327610977889826,0.7011770979012121,False,,,9.345015587433123,,,13.327610977889826,613269,462344,54421
ALP-SU2L,0.3,604.7981701346998,3.0,4.503095635017266e-10,8.181261890337238,11.672336606297856,0.7009103803537508,False,,,8.181261890337238,,,11.672336606297856,613271,462219,54421
ALP-SU2L,0.3,1000.0,3.0,2.723463999999997e-10,2.9914212550374124,4.270455954635789,0.7004922394270519,False,,,2.9914212550374124,,,4.270455954635789,613274,462118,54421
ALP-photon-combined,0.3,3.0,3.0,4.844991835527848e-13,42039.87617726989,127707.0754663132,0.3291898747486332,True,18567.210575242272,23472.665602027617,,36130.91963943413,91576.15582687907,,1685910,773067,54321
ALP-photon-combined,0.3,5.1,3.0,2.849995197369323e-13,18691.0061998123,71414.13648152765,0.261726979008519,True,7567.127957702504,11123.878242109793,,16291.842521977405,55122.29395955025,,1694847,786374,54321
ALP-photon-combined,0.3,8.67,3.0,1.676467763158425e-13,7669.214823489139,35279.08359835004,0.21738701919819198,True,2904.7698090238937,4764.445014465246,,6790.706751220614,28488.376847129424,,1700241,794599,54321
ALP-photon-combined,0.3,14.738999999999999,3.0,9.861575077402501e-14,2968.9769794553367,15638.729657532856,0.189847707868346,True,1073.7253139877807,1895.2516654675562,,2663.7197473098117,12975.009910223045,,1703442,800400,54321
ALP-photon-combined,0.3,25.056299999999997,3.0,5.800926516119119e-14,1098.9574673406114,6374.009847007901,0.17241226382109937,True,387.20959792454937,711.7478694160621,,999.6845090717464,5374.325337936155,,1705404,803239,54321
ALP-photon-combined,0.3,42.59570999999999,3.0,3.412309715364188e-14,396.76875953403896,2447.076062655156,0.16213993736816343,True,137.0994194020333,259.6693401320057,,364.09924826264466,2082.976814392511,,1706592,805019,54321
ALP-photon-combined,0.3,72.41270699999998,3.0,2.0072410090377577e-14,141.118870775523,902.8120029846451,0.15631036174640128,True,48.182577783068794,92.9362929924542,,130.01320890156163,772.7987940830835,,1707269,806862,54321
