mass_GeV,ctau_lower_m,ctau_upper_m,upper_extends_beyond_scan
0.3,3.0,652.7007785099522,False
0.4,4.0,345.62339038301366,False
0.5,5.0,189.7182638853418,False
0.75,7.5,59.58250257197499,False
1.0,10.0,24.924451215379904,False
