profile,benchmark_source,selection_name,panel_label,mass_GeV,ctau_m,model_id,model_label,source,bin_index,energy_low_GeV,energy_high_GeV,bin_probability,density_per_GeV,density_error_per_GeV,bin_N_eff,expected_events,expected_events_before_ECAL,weighted_ECAL_efficiency,total_N_eff,accepted_samples,cache_key
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,13,1.9480734445425867,2.2495937718590873,0.003746206231828035,0.01242439030618227,0.0006531656859525974,361.8290651843157,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,14,2.2495937718590873,2.5977830315198704,0.008655534178977306,0.024858705255325214,0.000810445695818317,940.8256947337683,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,15,2.5977830315198704,2.99986458145088,0.01650481190678763,0.04104841893297412,0.0009094222098651938,2037.3317595708652,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,16,2.99986458145088,3.4641798017205296,0.026062606135641226,0.056131276766041495,0.0009275148484836582,3662.4196024417024,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,17,3.4641798017205296,4.00036114058337,0.03666711859522026,0.06838566719421027,0.0008900159134776213,5903.84073218998,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,18,4.00036114058337,4.619531944370044,0.050294630789037675,0.08122900899307572,0.0008427373597669876,9290.4727772836,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,19,4.619531944370044,5.334537216793201,0.05976997660196556,0.08359375644798356,0.0007412891896550586,12716.639199312378,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,20,5.334537216793201,6.160210094884928,0.06882004708386874,0.08335025760192565,0.0006402924979798793,16945.604497115393,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,21,6.160210094884928,7.113679569740505,0.07230324484528193,0.07583173531196032,0.0005245110605856352,20902.233126180763,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,22,7.113679569740505,8.214725835887057,0.07664599134406741,0.06961196245850183,0.000432578211691169,25896.34503290292,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
