mass_GeV,photon_ctau_m,su2_ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,absolute_probability_difference,D_TV_bin_contribution
0.3,3.0000000000000004,79.84470893226988,0,0.3,25.976657688501856,0.8116371416956596,0.003886348338218542,0.807750793357441,0.4038753966787205
0.3,3.0000000000000004,79.84470893226988,1,25.976657688501856,29.99729169014488,0.044565393651830564,0.009993291215595812,0.03457210243623475,0.017286051218117375
0.3,3.0000000000000004,79.84470893226988,2,29.99729169014488,34.64023430319652,0.035385744699965915,0.023202206406551903,0.012183538293414013,0.006091769146707006
0.3,3.0000000000000004,79.84470893226988,3,34.64023430319652,40.00180566216164,0.028808854911669353,0.04193564677426813,0.013126791862598776,0.006563395931299388
0.3,3.0000000000000004,79.84470893226988,4,40.00180566216164,46.19323420932204,0.02262954036565617,0.06796132721005987,0.045331786844403706,0.022665893422201853
0.3,3.0000000000000004,79.84470893226988,5,46.19323420932204,53.3429641836316,0.017136797490002503,0.09350875593044622,0.07637195844044371,0.038185979220221856
0.3,3.0000000000000004,79.84470893226988,6,53.3429641836316,61.59932025980484,0.012763551068866182,0.11804011964840393,0.10527656857953774,0.05263828428976887
0.3,3.0000000000000004,79.84470893226988,7,61.59932025980484,71.13358461685092,0.00910444016299672,0.13420211269525692,0.1250976725322602,0.0625488362661301
0.3,3.0000000000000004,79.84470893226988,8,71.13358461685092,82.14355027135687,0.006140433699049064,0.13573169046083441,0.12959125676178535,0.06479562838089267
0.3,3.0000000000000004,79.84470893226988,9,82.14355027135687,94.85762439117252,0.004342485013034697,0.12390574476138735,0.11956325974835266,0.05978162987417633
0.3,3.0000000000000004,79.84470893226988,10,94.85762439117252,109.53956671476264,0.002891401744448405,0.09992074236229595,0.09702934061784754,0.04851467030892377
0.3,3.0000000000000004,79.84470893226988,11,109.53956671476264,126.49396137707384,0.0019559362410526368,0.07142099360302484,0.0694650573619722,0.0347325286809861
0.3,3.0000000000000004,79.84470893226988,12,126.49396137707384,146.07253565764043,0.0010953370293744237,0.04349851823791124,0.04240318120853682,0.02120159060426841
0.3,3.0000000000000004,79.84470893226988,13,146.07253565764043,168.68145673647828,0.0006668977131847575,0.021405477034964596,0.02073857932177984,0.01036928966088992
0.3,3.0000000000000004,79.84470893226988,14,168.68145673647828,194.78975783256428,0.00041271499090423584,0.008383656129655907,0.007970941138751672,0.003985470569375836
0.3,3.0000000000000004,79.84470893226988,15,194.78975783256428,224.93906852930118,0.00024411423797430964,0.002417069106787031,0.0021729548688127214,0.0010864774344063607
0.3,3.0000000000000004,79.84470893226988,16,224.93906852930118,259.7548511473678,0.0001319553500429614,0.0005112916895359647,0.00037933633949300324,0.00018966816974650162
0.3,3.0000000000000004,79.84470893226988,17,259.7548511473678,400.0,8.72599342875945e-05,7.500839480130959e-05,1.2251539486284911e-05,6.125769743142456e-06
