mass_GeV,photon_ctau_m,su2_ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,absolute_probability_difference,D_TV_bin_contribution
0.6,6.0,256.1694624401711,0,0.6,26.0626348941647,0.5791131439405899,0.0026917442277462644,0.5764213997128436,0.2882106998564218
0.6,6.0,256.1694624401711,1,26.0626348941647,29.68222787804119,0.07608618661549353,0.006823399252683436,0.0692627873628101,0.03463139368140505
0.6,6.0,256.1694624401711,2,29.68222787804119,33.80451191453499,0.06638728435006952,0.015287908690448186,0.05109937565962133,0.025549687829810666
0.6,6.0,256.1694624401711,3,33.80451191453499,38.499301011880455,0.059105253188992346,0.03025495724232399,0.028850295946668356,0.014425147973334178
0.6,6.0,256.1694624401711,4,38.499301011880455,43.846104985946475,0.05007906624208653,0.048558363002160994,0.001520703239925536,0.000760351619962768
0.6,6.0,256.1694624401711,5,43.846104985946475,49.93547601930189,0.04272604059936999,0.07070977347589612,0.027983732876526127,0.013991866438263063
0.6,6.0,256.1694624401711,6,49.93547601930189,56.87054223114012,0.033510862091725144,0.09102199905156338,0.05751113695983824,0.02875556847991912
0.6,6.0,256.1694624401711,7,56.87054223114012,64.76875423023372,0.026547221320477453,0.11124302770077063,0.08469580638029317,0.042347903190146585
0.6,6.0,256.1694624401711,8,64.76875423023372,73.7638742301177,0.019732695875518794,0.12317912363998446,0.10344642776446566,0.05172321388223283
0.6,6.0,256.1694624401711,9,73.7638742301177,84.0082414136775,0.01436196893342033,0.12474528499252548,0.11038331605910515,0.05519165802955257
0.6,6.0,256.1694624401711,10,84.0082414136775,95.67535191280946,0.010842684333916839,0.11563727666479362,0.10479459233087678,0.05239729616543839
0.6,6.0,256.1694624401711,11,95.67535191280946,108.96279709706647,0.007544402070077937,0.09668566052112126,0.08914125845104333,0.044570629225521664
0.6,6.0,256.1694624401711,12,108.96279709706647,124.09560993343874,0.005265519137656992,0.07191478782708799,0.066649268689431,0.0333246343447155
0.6,6.0,256.1694624401711,13,124.09560993343874,141.3300760904088,0.0033302175505394932,0.047082198895481854,0.04375198134494236,0.02187599067247118
0.6,6.0,256.1694624401711,14,141.3300760904088,160.9580743302226,0.002117081219415841,0.026243350727278,0.02412626950786216,0.01206313475393108
0.6,6.0,256.1694624401711,15,160.9580743302226,183.31201969721195,0.001337867305087665,0.0120031261168745,0.010665258811786836,0.005332629405893418
0.6,6.0,256.1694624401711,16,183.31201969721195,208.77049321881339,0.0009123554748571316,0.004352242421809522,0.0034398869469523907,0.0017199434734761954
0.6,6.0,256.1694624401711,17,208.77049321881339,237.76465346254378,0.0005056394329446182,0.0012388236699486018,0.0007331842370039836,0.0003665921185019918
0.6,6.0,256.1694624401711,18,237.76465346254378,400.0,0.0004945103177601167,0.000326951879501701,0.00016755843825841572,8.377921912920786e-05
