mass_GeV,photon_lifetime_index,photon_ctau_m,photon_N_events,su2_lifetime_index,su2_ctau_m,su2_N_events,D_TV
1.0,0,10.000000000000002,18.662698936145432,0,10.000000000000002,1921.6810815874742,0.5709280846153514
1.0,0,10.000000000000002,18.662698936145432,1,11.505277171756266,1468.8995706815508,0.5696279506114691
1.0,0,10.000000000000002,18.662698936145432,2,13.237140279893586,1120.3334380425877,0.5680695268589139
1.0,0,10.000000000000002,18.662698936145432,3,15.229696788159503,854.3708894711252,0.5671629769397507
1.0,0,10.000000000000002,18.662698936145432,4,17.522188278958126,650.2591289941049,0.5660450913658569
1.0,0,10.000000000000002,18.662698936145432,5,20.159763280511214,494.3998426290012,0.5641253121424153
1.0,0,10.000000000000002,18.662698936145432,6,23.19436642592759,375.38147249909196,0.5646566833456341
1.0,0,10.000000000000002,18.662698936145432,7,26.685761455357454,284.9022484258861,0.5638881589552691
1.0,0,10.000000000000002,18.662698936145432,8,30.702708208325753,216.44223093268712,0.5626510068634986
1.0,0,10.000000000000002,18.662698936145432,9,35.32431678603439,163.63642114923914,0.5625392565588329
1.0,0,10.000000000000002,18.662698936145432,10,40.64160555262483,124.30524428237631,0.5623539263315608
1.0,0,10.000000000000002,18.662698936145432,11,46.75929365881369,94.1221596565948,0.5623197718943418
1.0,0,10.000000000000002,18.662698936145432,12,53.79786339001967,71.28626479956012,0.5619657706715389
1.0,0,10.000000000000002,18.662698936145432,13,61.895932955045545,53.92215775429876,0.5616827620507708
1.0,0,10.000000000000002,18.662698936145432,14,71.21298644522419,40.81591000600566,0.5607820313451171
1.0,0,10.000000000000002,18.662698936145432,15,81.93251472808262,30.854652345020813,0.560411085412143
1.0,0,10.000000000000002,18.662698936145432,16,94.26562913255931,23.336583240384698,0.561021111730408
1.0,0,10.000000000000002,18.662698936145432,17,108.4552190940077,17.66881653401165,0.5605127832321837
1.0,0,10.000000000000002,18.662698936145432,18,124.78073564001106,13.368264416402367,0.5610899680905503
1.0,0,10.000000000000002,18.662698936145432,19,143.5636949233974,10.116971194940728,0.5594527267048203
1.0,1,10.181372917310114,18.08513465139391,0,10.000000000000002,1921.6810815874742,0.5719100097931515
1.0,1,10.181372917310114,18.08513465139391,1,11.505277171756266,1468.8995706815508,0.570609875789269
1.0,1,10.181372917310114,18.08513465139391,2,13.237140279893586,1120.3334380425877,0.5690514520367139
1.0,1,10.181372917310114,18.08513465139391,3,15.229696788159503,854.3708894711252,0.5681449021175508
1.0,1,10.181372917310114,18.08513465139391,4,17.522188278958126,650.2591289941049,0.5670270165436568
1.0,1,10.181372917310114,18.08513465139391,5,20.159763280511214,494.3998426290012,0.5651072373202154
1.0,1,10.181372917310114,18.08513465139391,6,23.19436642592759,375.38147249909196,0.565638608523434
1.0,1,10.181372917310114,18.08513465139391,7,26.685761455357454,284.9022484258861,0.5648700841330693
1.0,1,10.181372917310114,18.08513465139391,8,30.702708208325753,216.44223093268712,0.5636329320412986
1.0,1,10.181372917310114,18.08513465139391,9,35.32431678603439,163.63642114923914,0.563521181736633
1.0,1,10.181372917310114,18.08513465139391,10,40.64160555262483,124.30524428237631,0.5633358515093609
1.0,1,10.181372917310114,18.08513465139391,11,46.75929365881369,94.1221596565948,0.5633016970721418
1.0,1,10.181372917310114,18.08513465139391,12,53.79786339001967,71.28626479956012,0.5629476958493389
1.0,1,10.181372917310114,18.08513465139391,13,61.895932955045545,53.92215775429876,0.562664687228571
1.0,1,10.181372917310114,18.08513465139391,14,71.21298644522419,40.81591000600566,0.5617639565229171
1.0,1,10.181372917310114,18.08513465139391,15,81.93251472808262,30.854652345020813,0.5613930105899433
1.0,1,10.181372917310114,18.08513465139391,16,94.26562913255931,23.336583240384698,0.5620030369082079
1.0,1,10.181372917310114,18.08513465139391,17,108.4552190940077,17.66881653401165,0.5614947084099837
1.0,1,10.181372917310114,18.08513465139391,18,124.78073564001106,13.368264416402367,0.5620718932683503
1.0,1,10.181372917310114,18.08513465139391,19,143.5636949233974,10.116971194940728,0.5604346518826204
1.0,2,10.36603544813358,17.49944584250791,0,10.000000000000002,1921.6810815874742,0.5722471577334128
1.0,2,10.36603544813358,17.49944584250791,1,11.505277171756266,1468.8995706815508,0.5709470237295302
1.0,2,10.36603544813358,17.49944584250791,2,13.237140279893586,1120.3334380425877,0.569388599976975
1.0,2,10.36603544813358,17.49944584250791,3,15.229696788159503,854.3708894711252,0.568482050057812
1.0,2,10.36603544813358,17.49944584250791,4,17.522188278958126,650.2591289941049,0.567364164483918
