mass_GeV,photon_ctau_m,su2_ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,absolute_probability_difference,D_TV_bin_contribution
0.75,7.499999999999999,141.10621587801643,0,0.75,25.24530087651988,0.43935982967490245,0.0016838336734924181,0.43767599600141005,0.21883799800070503
0.75,7.499999999999999,141.10621587801643,1,25.24530087651988,28.62335425346548,0.08312362150312601,0.004448480294710757,0.07867514120841525,0.039337570604207624
0.75,7.499999999999999,141.10621587801643,2,28.62335425346548,32.4534222319921,0.07842919886897076,0.011128342859315516,0.06730085600965524,0.03365042800482762
0.75,7.499999999999999,141.10621587801643,3,32.4534222319921,36.79598852187087,0.07253237638317128,0.021501425801419137,0.051030950581752145,0.025515475290876072
0.75,7.499999999999999,141.10621587801643,4,36.79598852187087,41.71963010936189,0.06512131852544314,0.03771831157810898,0.027403006947334163,0.013701503473667082
0.75,7.499999999999999,141.10621587801643,5,41.71963010936189,47.30210021202276,0.05766789752299981,0.056585495796002735,0.0010824017269970773,0.0005412008634985387
0.75,7.499999999999999,141.10621587801643,6,47.30210021202276,53.63155614282764,0.048260031683591754,0.07740121307635993,0.029141181392768174,0.014570590696384087
0.75,7.499999999999999,141.10621587801643,7,53.63155614282764,60.80795147379508,0.039920752651552184,0.09669857609302501,0.05677782344147283,0.028388911720736414
0.75,7.499999999999999,141.10621587801643,8,60.80795147379508,68.94461448390986,0.0320239151070585,0.11357821604990344,0.08155430094284494,0.04077715047142247
0.75,7.499999999999999,141.10621587801643,9,68.94461448390986,78.17003781788945,0.023744843991818813,0.12081929308304135,0.09707444909122254,0.04853722454561127
0.75,7.499999999999999,141.10621587801643,10,78.17003781788945,88.62990761774932,0.018636827251414002,0.11875027995078766,0.10011345269937366,0.05005672634968683
0.75,7.499999999999999,141.10621587801643,11,88.62990761774932,100.48940417082771,0.013393170737365142,0.10923137346433108,0.09583820272696594,0.04791910136348297
0.75,7.499999999999999,141.10621587801643,12,100.48940417082771,113.93581040567035,0.009446927405125628,0.0878912458766801,0.07844431847155448,0.03922215923577724
0.75,7.499999999999999,141.10621587801643,13,113.93581040567035,129.18146942864817,0.0068580474301398265,0.06341172727542786,0.05655367984528804,0.02827683992264402
0.75,7.499999999999999,141.10621587801643,14,129.18146942864817,146.4671378061682,0.004184701360997658,0.0412911688472646,0.03710646748626695,0.018553233743133474
0.75,7.499999999999999,141.10621587801643,15,146.4671378061682,166.06578754687547,0.0027680990173392797,0.022632618651299286,0.019864519633960007,0.009932259816980003
0.75,7.499999999999999,141.10621587801643,16,166.06578754687547,188.28691682403147,0.0018307911742636868,0.010178646286579485,0.008347855112315799,0.004173927556157899
0.75,7.499999999999999,141.10621587801643,17,188.28691682403147,213.48143751218313,0.0012669462015236683,0.003700362143184148,0.00243341594166048,0.00121670797083024
0.75,7.499999999999999,141.10621587801643,18,213.48143751218313,242.0472167211748,0.0007268045840202283,0.0011043657049233666,0.0003775611209031383,0.00018878056045156915
0.75,7.499999999999999,141.10621587801643,19,242.0472167211748,400.0,0.0007038989251761967,0.00024502349414320533,0.0004588754310329914,0.0002294377155164957
