mass_GeV,number_of_energy_bins,number_of_photon_lifetimes,number_of_su2_lifetimes,minimum_D_TV,minimum_photon_lifetime_index,minimum_photon_ctau_m,minimum_photon_N_events,minimum_su2_lifetime_index,minimum_su2_ctau_m,minimum_su2_N_events,maximum_D_TV,maximum_photon_lifetime_index,maximum_photon_ctau_m,maximum_su2_lifetime_index,maximum_su2_ctau_m
0.3,18,20,20,0.8545186856265761,0,3.0000000000000004,42039.876177269885,12,79.84470893226988,468.40312374854926,0.9058374302341121,19,272.9457069710534,0,3.0000000000000004
0.4,18,20,20,0.8131159877322028,0,4.0,7582.764232594722,19,397.89337196303796,10.185993754971243,0.8656425962291108,19,142.56137736137705,0,4.0
0.5,19,20,20,0.7686619348570054,0,4.999999999999999,1913.3341495182856,16,162.76721762560175,37.49255726730605,0.8204744113651959,19,84.59725491026656,0,4.999999999999999
0.6,19,20,20,0.7273221203601271,0,6.0,598.3446532912434,19,256.1694624401711,10.154236778091802,0.7761921780904114,19,54.37872981652651,0,6.0
0.75,20,20,20,0.663627227906597,0,7.499999999999999,136.04630726653738,17,141.10621587801643,20.183044686007495,0.703188235989157,19,30.762667450733804,0,7.499999999999999
0.9,20,20,20,0.6027599650324473,0,9.000000000000002,39.25782455572013,18,139.10878977701455,13.716768501480493,0.632022114735795,19,18.935414113492897,0,9.000000000000002
1.0,21,20,20,0.5594527267048203,0,10.000000000000002,18.662698936145432,19,143.5636949233974,10.116971194940728,0.5807090071635855,19,14.070857070231174,0,10.000000000000002
1.05,21,20,20,0.5358399636443427,0,10.5,12.940166274848433,19,135.70125429330454,10.105463607517459,0.5514734489694609,19,12.104643579961705,0,10.5
