model,plot_label,mass_GeV,ctau_m,weighted_mean_energy_GeV,weighted_median_energy_GeV,energy_q16_GeV,energy_q84_GeV,fraction_below_1_GeV,effective_sample_size,accepted_samples,normalization,range_coverage,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,visible_Br,N_events,ctau_lower_m,ctau_upper_m,benchmark_ctau_m,minimum_required_events,maximum_allowed_tv_distance
ALP-photon-primary,"ALP-photon, primary",0.3,117.493164585503,11.945041902624181,7.465930281863152,3.005333762206078,19.55772699696657,0.00582732766552293,382796.69059916295,849944,0.9999999999999968,1.0,7341.2501508209325,0.7623223908428486,0.849944,0.010566356057499667,0.9999999999999996,50.260204617974814,3.0,265.45350016020666,117.493164585503,10.0,0.01
ALP-SU2L,ALP-$SU(2)_L$,0.3,117.493164585503,71.79210236510208,66.14835061430026,43.92411292455562,99.91103176849465,0.0011556071573422624,474879.1245491533,613254,1.0000000000000016,1.0,930867.2737236464,0.30451158975863324,0.613254,0.0017752009498518402,1.0,308.5883313031024,3.0,265.45350016020666,117.493164585503,10.0,0.01
ALP-photon-primary,"ALP-photon, primary",0.4,111.876783674932,14.359482383853015,9.472335767576277,4.105536515644958,23.205424988598796,0.0004640774065625932,433987.2365669344,866365,0.9999999999999997,1.0,2211.9476506389024,0.8178540411317706,0.866365,0.012283924573622542,1.0,19.25256899988135,4.0,156.10182143080877,111.876783674932,10.0,0.01
ALP-SU2L,ALP-$SU(2)_L$,0.4,111.876783674932,71.4387912679757,65.96373288523048,43.5377781618177,99.74655102224315,0.004280758227998857,374666.5304758615,611325,0.9999999999999996,1.0,412116.706223984,0.3061405206985578,0.611325,0.0024960234229180482,1.0,192.51379251956664,4.0,156.10182143080877,111.876783674932,10.0,0.01
