mass_GeV,ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
0.3,117.493164585503,0,0.3,25.976657688501856,0.9011497807756503,0.0077851897312331666,-4.751448305792915
0.3,117.493164585503,1,25.976657688501856,29.99729169014488,0.02355003283681612,0.014818380475773255,-0.46325888054703407
0.3,117.493164585503,2,29.99729169014488,34.64023430319652,0.01860517635554031,0.03150781568997124,0.5267957915113414
0.3,117.493164585503,3,34.64023430319652,40.00180566216164,0.015151998882972896,0.05524748235644118,1.2936903084281006
0.3,117.493164585503,4,40.00180566216164,46.19323420932204,0.011689166217924483,0.08355765317105333,1.9668744021853068
0.3,117.493164585503,5,46.19323420932204,53.3429641836316,0.00887981753864288,0.10969460334716445,2.5139191620806938
0.3,117.493164585503,6,53.3429641836316,61.59932025980484,0.0066956003051929225,0.12978275065696596,2.9644112639087803
0.3,117.493164585503,7,61.59932025980484,71.13358461685092,0.004763853257093396,0.1369213189021059,3.3583495977018227
0.3,117.493164585503,8,71.13358461685092,82.14355027135687,0.0032007794296320985,0.12889989015305245,3.6956417058505164
0.3,117.493164585503,9,82.14355027135687,94.85762439117252,0.0022851958272498687,0.10873460535268528,3.8624583780954533
0.3,117.493164585503,10,94.85762439117252,109.53956671476264,0.001537931900538898,0.0818101380451566,3.9739625807414436
0.3,117.493164585503,11,109.53956671476264,126.49396137707384,0.001051437236158491,0.055190880240433685,3.9606397020351274
0.3,117.493164585503,12,126.49396137707384,146.07253565764043,0.0005921958640254189,0.03239057308791459,4.001785273809321
0.3,117.493164585503,13,146.07253565764043,168.68145673647828,0.0003614008389610555,0.0155361490654905,3.76093708575363
0.3,117.493164585503,14,168.68145673647828,194.78975783256428,0.00022496036708352657,0.00599592417516805,3.282910972846533
0.3,117.493164585503,15,194.78975783256428,224.93906852930118,0.00013682174998428618,0.001714697554227112,2.5283130071637343
0.3,117.493164585503,16,224.93906852930118,259.7548511473678,7.45188424485744e-05,0.000359189758132015,1.5727988108462738
0.3,117.493164585503,17,259.7548511473678,400.0,4.9331774084288184e-05,5.275823703118937e-05,0.06715153421876896
