mass_GeV,ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
0.4,111.876783674932,0,0.4,25.238293779207726,0.8616485596657888,0.010748448806397328,-4.384086037043578
0.4,111.876783674932,1,25.238293779207726,28.977438402999603,0.030950209653940464,0.010909353742479724,-1.0427592103096517
0.4,111.876783674932,2,28.977438402999603,33.27055084410684,0.024686471443209377,0.025412762755008946,0.02899613976448112
0.4,111.876783674932,3,33.27055084410684,38.19970344085745,0.020509823046812477,0.046095942167401836,0.809820979336435
0.4,111.876783674932,4,38.19970344085745,43.859127845727414,0.01624262868465888,0.07140464284826942,1.4807237066638417
0.4,111.876783674932,5,43.859127845727414,50.35701647176671,0.012682217875721344,0.09526735070508058,2.016486312002784
0.4,111.876783674932,6,50.35701647176671,57.81759082983714,0.009700888886186431,0.11759368861512684,2.4950178467235844
0.4,111.876783674932,7,57.81759082983714,66.38347629750241,0.007415312419354732,0.1286181149734186,2.8533005566896588
0.4,111.876783674932,8,66.38347629750241,76.21842871852988,0.005129762594472154,0.12813740493894607,3.2180437840105367
0.4,111.876783674932,9,76.21842871852988,87.5104649579821,0.0037285491482915447,0.1168534177838442,3.4449011201824904
0.4,111.876783674932,10,87.5104649579821,100.47545726038321,0.0026107004346490165,0.09316098041765325,3.5747104178833693
0.4,111.876783674932,11,100.47545726038321,115.36126012506426,0.001751812436503548,0.06814239371948357,3.660948611054607
0.4,111.876783674932,12,115.36126012506426,132.45244859303648,0.001199788925851532,0.04457574595888947,3.615044252326504
0.4,111.876783674932,13,132.45244859303648,152.07575852822455,0.0006898408473086933,0.02521441307169086,3.5987101423775787
0.4,111.876783674932,14,152.07575852822455,174.6063328960663,0.00043875815753740416,0.011907375341763208,3.300964896451091
0.4,111.876783674932,15,174.6063328960663,200.47489345090884,0.00028938428984031387,0.004384059386338682,2.71797484724492
0.4,111.876783674932,16,200.47489345090884,230.17597493486272,0.00016791761991783328,0.0012706588134201483,2.0238172941658266
0.4,111.876783674932,17,230.17597493486272,400.0,0.0001573738699555131,0.0003032459547873452,0.6559198964503631
