mass_GeV,photon_ctau_m,su2_ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,absolute_probability_difference,D_TV_bin_contribution
1.0,10.000000000000002,143.5636949233974,0,1.0,25.41630393831867,0.26941036057070494,0.001458128762122177,0.26795223180858274,0.13397611590429137
1.0,10.000000000000002,143.5636949233974,1,25.41630393831867,28.651911110982937,0.07696773468126858,0.0036608521099653142,0.07330688257130326,0.03665344128565163
1.0,10.000000000000002,143.5636949233974,2,28.651911110982937,32.299425294249666,0.07997670426025591,0.00886328632913075,0.07111341793112516,0.03555670896556258
1.0,10.000000000000002,143.5636949233974,3,32.299425294249666,36.411284060521595,0.08172918669660999,0.017058688439280153,0.06467049825732983,0.032335249128664915
1.0,10.000000000000002,143.5636949233974,4,36.411284060521595,41.046600515583364,0.07984297201887212,0.030610457278800508,0.04923251474007162,0.02461625737003581
1.0,10.000000000000002,143.5636949233974,5,41.046600515583364,46.27201312333376,0.07696340342140157,0.04765478489710219,0.029308618524299376,0.014654309262149688
1.0,10.000000000000002,143.5636949233974,6,46.27201312333376,52.16264371694075,0.06891331951734175,0.06642573108200774,0.0024875884353340177,0.0012437942176670089
1.0,10.000000000000002,143.5636949233974,7,52.16264371694075,58.80317746902607,0.059169123090385946,0.08594210680713217,0.026772983716746225,0.013386491858373113
1.0,10.000000000000002,143.5636949233974,8,58.80317746902607,66.28908034679972,0.05078282138583598,0.10234821520723593,0.05156539382139995,0.025782696910699975
1.0,10.000000000000002,143.5636949233974,9,66.28908034679972,74.72797155458294,0.039979622861604475,0.11422813048913714,0.07424850762753267,0.037124253813766335
1.0,10.000000000000002,143.5636949233974,10,74.72797155458294,84.24117069429447,0.03144724221415913,0.11891397708298516,0.08746673486882603,0.043733367434413015
1.0,10.000000000000002,143.5636949233974,11,84.24117069429447,94.96544188626557,0.02489792766837652,0.11222700305028149,0.08732907538190497,0.043664537690952486
1.0,10.000000000000002,143.5636949233974,12,94.96544188626557,107.05495992429856,0.018632694972155833,0.09641966642712001,0.07778697145496417,0.03889348572748209
1.0,10.000000000000002,143.5636949233974,13,107.05495992429856,120.68352673090327,0.0137752535933059,0.07632777361588876,0.06255252002258285,0.031276260011291426
1.0,10.000000000000002,143.5636949233974,14,120.68352673090327,136.0470699770249,0.009736951071752693,0.054846655627557965,0.04510970455580527,0.022554852277902635
1.0,10.000000000000002,143.5636949233974,15,136.0470699770249,153.3664597870422,0.006277002798178415,0.03352315390624513,0.02724615110806671,0.013623075554033356
1.0,10.000000000000002,143.5636949233974,16,153.3664597870422,172.89068402268873,0.00429387287432468,0.01785504259700824,0.01356116972268356,0.00678058486134178
1.0,10.000000000000002,143.5636949233974,17,172.89068402268873,194.9004277945695,0.002923332546753073,0.007908576864326467,0.004985244317573394,0.002492622158786697
1.0,10.000000000000002,143.5636949233974,18,194.9004277945695,219.71210866122348,0.0019441704928413474,0.0027724405995759867,0.0008282701067346392,0.0004141350533673196
1.0,10.000000000000002,143.5636949233974,19,219.71210866122348,247.6824255267556,0.0011941943244696172,0.0007809378310994741,0.0004132564933701431,0.00020662824668507155
1.0,10.000000000000002,143.5636949233974,20,247.6824255267556,400.0,0.001142108939401469,0.00017439099599723484,0.0009677179434042341,0.00048385897170211703
