template_bank_path,mass_GeV,model,lifetime_index,ctau_m,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,template_total_N_eff,number_of_common_energy_bins,passes_N_events_threshold
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-photon-combined,19,272.9457069710534,10.18690323420639,68.15029615686078,0.14947702077125694,341670.80401811714,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,0,3.0000000000000004,305112.9766442093,431371.1211385265,0.7073096962052501,405054.516808364,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,1,3.9434983368143994,179992.7829029946,255275.8294853135,0.7050913643720035,402254.4657746934,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,2,5.1837263774859785,105838.95494569323,150281.64049539776,0.7042706919940394,400555.1763722299,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,3,6.814005449372293,61999.20066140259,88114.39974182578,0.7036216650520183,398848.2638408292,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,4,8.957006385547963,36258.69679777422,51506.96903150732,0.7039571048258425,398108.3141508937,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,5,11.773979928081449,21096.650825392888,30036.598166869077,0.7023648519779075,396896.10870179563,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,6,15.476890088025105,12273.94497708653,17485.705431634702,0.7019416531449063,396126.64358138485,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,7,20.34436344039542,7141.630628029952,10165.37791583089,0.7025445278240022,395855.3667631458,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,8,26.742654463582337,4145.785207999004,5903.604438015352,0.7022464413948297,395717.72449717915,18,True
