mass_GeV,ctau_m,lifetime_label,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
0.75,21.139270784249224,mid,0,0.75,1.8065129755598768,0.0002618685384074081,0.0021049278648224766,2.0841938610036856
0.75,21.139270784249224,mid,1,1.8065129755598768,2.633061536419896,0.002175604725566826,0.0035298597950745867,0.4839514914077188
0.75,21.139270784249224,mid,2,2.633061536419896,3.3848619282541277,0.008979453109039323,0.002691127589432497,-1.204978695450927
0.75,21.139270784249224,mid,3,3.3848619282541277,4.933565310603892,0.05472018286298169,0.0024603612605272438,-3.101924422067807
0.75,21.139270784249224,mid,4,4.933565310603892,22.265916520557816,0.691090232850368,0.0017450158148138875,-5.981506779694727
0.75,21.139270784249224,mid,5,22.265916520557816,25.24530087651988,0.0453365598655164,0.0038493977104949494,-2.4661970708098853
0.75,21.139270784249224,mid,6,25.24530087651988,28.62335425346548,0.03864666916243389,0.010006318388531199,-1.3512438595015435
0.75,21.139270784249224,mid,7,28.62335425346548,32.4534222319921,0.032863368866169654,0.021215622384284243,-0.43762081393277646
0.75,21.139270784249224,mid,8,32.4534222319921,36.79598852187087,0.027237588217154114,0.03762078772962299,0.3229588236938223
0.75,21.139270784249224,mid,9,36.79598852187087,41.71963010936189,0.022457399891418487,0.05691490170073326,0.9299370232306956
0.75,21.139270784249224,mid,10,41.71963010936189,47.30210021202276,0.018706608055746005,0.07751169428996206,1.4215519856355636
0.75,21.139270784249224,mid,11,47.30210021202276,53.63155614282764,0.014771320302376618,0.09737491287695045,1.8858811261078878
0.75,21.139270784249224,mid,12,53.63155614282764,60.80795147379508,0.011744351660963047,0.11116261892723657,2.2476217492685655
0.75,21.139270784249224,mid,13,60.80795147379508,68.94461448390986,0.00888547464344421,0.11754877316799842,2.582435457310507
0.75,21.139270784249224,mid,14,68.94461448390986,78.17003781788945,0.006526092344714658,0.11442391651091785,2.864101769156656
0.75,21.139270784249224,mid,15,78.17003781788945,88.62990761774932,0.004876696314700233,0.10140362147729412,3.034640799370672
0.75,21.139270784249224,mid,16,88.62990761774932,100.48940417082771,0.0035515308803437166,0.08423288650354627,3.1662066766125814
0.75,21.139270784249224,mid,17,100.48940417082771,113.93581040567035,0.0024623824910354115,0.06282149918642785,3.2391679850718167
0.75,21.139270784249224,mid,18,113.93581040567035,129.18146942864817,0.0017740622737083926,0.042708496360414516,3.18112589160944
0.75,21.139270784249224,mid,19,129.18146942864817,146.4671378061682,0.0010813764774539646,0.02595512536406554,3.1781343535311364
0.75,21.139270784249224,mid,20,146.4671378061682,166.06578754687547,0.0007256127514791021,0.013777435974021777,2.9437709862562995
0.75,21.139270784249224,mid,21,166.06578754687547,188.28691682403147,0.0004516846990457049,0.006092633196490605,2.6018512796954316
0.75,21.139270784249224,mid,22,188.28691682403147,213.48143751218313,0.00031108142784557386,0.002106017622350987,1.912499356568105
0.75,21.139270784249224,mid,23,213.48143751218313,242.0472167211748,0.000187898792093886,0.0005984958592136243,1.1585161284201038
0.75,21.139270784249224,mid,24,242.0472167211748,400.0,0.0001748987959937656,0.00014355244477201866,-0.19750706080476163
