mass_GeV,ctau_m,lifetime_label,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
1.0,15.787479601057262,mid,0,1.0,2.608132185847037,0.0003445087006614484,0.0015851830955606252,1.526335851297485
1.0,15.787479601057262,mid,1,2.608132185847037,3.314454017339987,0.0012480646394105622,0.0026388852620371417,0.7487625157521199
1.0,15.787479601057262,mid,2,3.314454017339987,3.736398577729146,0.0013974624201942376,0.002037103191875864,0.3768707597646164
1.0,15.787479601057262,mid,3,3.736398577729146,4.212058534714722,0.002282569661027771,0.002122294641480017,-0.07280397124738976
1.0,15.787479601057262,mid,4,4.212058534714722,4.748272094313281,0.003571724271614164,0.0025116367052180743,-0.3521138540094351
1.0,15.787479601057262,mid,5,4.748272094313281,5.352747996214929,0.005363675642180512,0.0023717553459229827,-0.8160191609112664
1.0,15.787479601057262,mid,6,5.352747996214929,6.034176336545162,0.008953469775810139,0.002322662557492515,-1.349326959886334
1.0,15.787479601057262,mid,7,6.034176336545162,6.802353498851244,0.013585000428070372,0.002172450657649266,-1.8331104087336407
1.0,15.787479601057262,mid,8,6.802353498851244,7.668322989352109,0.020440560926087162,0.0016058829254444094,-2.543847492888349
1.0,15.787479601057262,mid,9,7.668322989352109,9.745021389728478,0.0678123603833733,0.001563488822687355,-3.7698247358845496
1.0,15.787479601057262,mid,10,9.745021389728478,20.000000000000004,0.3686975775376629,0.0011593404558265146,-5.762125464081992
1.0,15.787479601057262,mid,11,20.000000000000004,22.546087881634225,0.06845862167634505,0.0014662651569579336,-3.843511041471166
1.0,15.787479601057262,mid,12,22.546087881634225,25.41630393831867,0.06677657244903716,0.004379380587680408,-2.724445011138026
1.0,15.787479601057262,mid,13,25.41630393831867,28.651911110982937,0.06109830983537619,0.010110625829287389,-1.7988972704029444
1.0,15.787479601057262,mid,14,28.651911110982937,32.299425294249666,0.05356210831113303,0.02025452623934666,-0.9724635970184018
1.0,15.787479601057262,mid,15,32.299425294249666,36.411284060521595,0.04745810929000963,0.03463322069783292,-0.31503405504178394
1.0,15.787479601057262,mid,16,36.411284060521595,41.046600515583364,0.04213086173190477,0.0524139245481455,0.21839176177947597
1.0,15.787479601057262,mid,17,41.046600515583364,46.27201312333376,0.03594348350013649,0.07176687089768723,0.6914751593689764
1.0,15.787479601057262,mid,18,46.27201312333376,52.16264371694075,0.030230314371037778,0.08895268427314747,1.0792593829386452
1.0,15.787479601057262,mid,19,52.16264371694075,58.80317746902607,0.024501589214454427,0.10337253432539899,1.439601319966853
1.0,15.787479601057262,mid,20,58.80317746902607,66.28908034679972,0.020017892461997547,0.10992836407798101,1.703202421274516
1.0,15.787479601057262,mid,21,66.28908034679972,74.72797155458294,0.015043948056799327,0.10863460283770458,1.9770141953972362
1.0,15.787479601057262,mid,22,74.72797155458294,84.24117069429447,0.01161298137924913,0.10041487283717797,2.1571867752929164
1.0,15.787479601057262,mid,23,84.24117069429447,94.96544188626557,0.008969364118424427,0.08611791377673751,2.2619026638443445
1.0,15.787479601057262,mid,24,94.96544188626557,107.05495992429856,0.006541638143071885,0.06803680313231214,2.3418611666059044
1.0,15.787479601057262,mid,25,107.05495992429856,120.68352673090327,0.0047377420468661426,0.04891443399788129,2.3345118659162263
1.0,15.787479601057262,mid,26,120.68352673090327,136.0470699770249,0.0032872541623329876,0.032820683969737335,2.301006310284082
1.0,15.787479601057262,mid,27,136.0470699770249,153.3664597870422,0.002090175500273783,0.01949256258860369,2.2327849532292317
1.0,15.787479601057262,mid,28,153.3664597870422,172.89068402268873,0.0014465994888724404,0.009851741559221602,1.918432625495383
1.0,15.787479601057262,mid,29,172.89068402268873,194.9004277945695,0.0009645633257476285,0.004292508000754104,1.4929509699155266
1.0,15.787479601057262,mid,30,194.9004277945695,219.71210866122348,0.0006584434893681606,0.0015156598042638482,0.8337274372079263
1.0,15.787479601057262,mid,31,219.71210866122348,247.6824255267556,0.00038706273232310095,0.0004425490462102862,0.13396451827985506
1.0,15.787479601057262,mid,32,247.6824255267556,400.0,0.0003853903291465441,9.658815473548687e-05,-1.3838005507222686
