mass_GeV,ctau_m,lifetime_label,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
1.0,10.95626581890893,low,0,1.0,2.608132185847037,0.00018696498923662626,0.0007861078009516772,1.4361725583702722
1.0,10.95626581890893,low,1,2.608132185847037,3.314454017339987,0.0008201607841766261,0.0016145320352148546,0.677300032889272
1.0,10.95626581890893,low,2,3.314454017339987,3.736398577729146,0.000984284527682787,0.0013321262114404462,0.30261659054076606
1.0,10.95626581890893,low,3,3.736398577729146,4.212058534714722,0.0016910055813655327,0.001484942868769711,-0.12994707123547627
1.0,10.95626581890893,low,4,4.212058534714722,4.748272094313281,0.002766639144694577,0.001834081271402894,-0.41108959178972426
1.0,10.95626581890893,low,5,4.748272094313281,5.352747996214929,0.0043166185678937055,0.0017986011249054952,-0.8754631469104431
1.0,10.95626581890893,low,6,5.352747996214929,6.034176336545162,0.007457558208728616,0.0018199403111394626,-1.4104243382970056
1.0,10.95626581890893,low,7,6.034176336545162,6.802353498851244,0.011673188066056078,0.0017283547200653206,-1.9101246666114902
1.0,10.95626581890893,low,8,6.802353498851244,7.668322989352109,0.018059607892413093,0.0013475340656737933,-2.595401532239674
1.0,10.95626581890893,low,9,7.668322989352109,9.745021389728478,0.062089910896219055,0.0013547113900588457,-3.8249950749229837
1.0,10.95626581890893,low,10,9.745021389728478,20.000000000000004,0.3612098202867349,0.0010683501022954807,-5.823343511163253
1.0,10.95626581890893,low,11,20.000000000000004,22.546087881634225,0.06960805930467039,0.0014034272233225088,-3.9039630934754768
1.0,10.95626581890893,low,12,22.546087881634225,25.41630393831867,0.0684733732123351,0.004226224199795844,-2.7851359872010457
1.0,10.95626581890893,low,13,25.41630393831867,28.651911110982937,0.06312069696842394,0.00983459253542953,-1.8591426975053569
1.0,10.95626581890893,low,14,28.651911110982937,32.299425294249666,0.055695651022953825,0.01985724309593896,-1.0313332332428673
1.0,10.95626581890893,low,15,32.299425294249666,36.411284060521595,0.049643853844669746,0.03412564728613811,-0.374825371777378
1.0,10.95626581890893,low,16,36.411284060521595,41.046600515583364,0.04429917140681813,0.051953222446498436,0.15937777264931377
1.0,10.95626581890893,low,17,41.046600515583364,46.27201312333376,0.03796945618572223,0.0714180370966953,0.6317684059121792
1.0,10.95626581890893,low,18,46.27201312333376,52.16264371694075,0.032065360196137725,0.0889082480181311,1.0198285909734666
1.0,10.95626581890893,low,19,52.16264371694075,58.80317746902607,0.026084765593016035,0.1037382506966269,1.3805194562414327
1.0,10.95626581890893,low,20,58.80317746902607,66.28908034679972,0.021379805102309666,0.11066786237977601,1.644086695159419
1.0,10.95626581890893,low,21,66.28908034679972,74.72797155458294,0.016113029606596403,0.1096972010024832,1.9180956149121549
1.0,10.95626581890893,low,22,74.72797155458294,84.24117069429447,0.012470384912747242,0.1016483940961832,2.09816311526803
1.0,10.95626581890893,low,23,84.24117069429447,94.96544188626557,0.009652956514992914,0.08737506174252929,2.2029456641536727
1.0,10.95626581890893,low,24,94.96544188626557,107.05495992429856,0.007054183458676759,0.06917381829503468,2.2830016034673486
1.0,10.95626581890893,low,25,107.05495992429856,120.68352673090327,0.005118313774184385,0.049823946634262324,2.2756706807388882
1.0,10.95626581890893,low,26,120.68352673090327,136.0470699770249,0.003556814447166684,0.033483852505781675,2.24219798180825
1.0,10.95626581890893,low,27,136.0470699770249,153.3664597870422,0.0022647681774870683,0.01991457098243655,2.173979270166496
1.0,10.95626581890893,low,28,153.3664597870422,172.89068402268873,0.001569363273776646,0.010079153777817368,1.8597993295105764
1.0,10.95626581890893,low,29,172.89068402268873,194.9004277945695,0.0010475793473861072,0.004395653657229029,1.434134128308002
1.0,10.95626581890893,low,30,194.9004277945695,219.71210866122348,0.0007157808555067419,0.0015531845068942462,0.7746885704647808
1.0,10.95626581890893,low,31,219.71210866122348,247.6824255267556,0.00042112161174689706,0.0004540175536676728,0.07521420578404822
1.0,10.95626581890893,low,32,247.6824255267556,400.0,0.0004197522374739313,9.910836541024579e-05,-1.4434507748350434
