mass_GeV,number_of_events,photon_truth_worst_accuracy,su2_truth_worst_accuracy,worst_case_correct_fraction,limiting_seed,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.4,1,0.87182,0.93904,0.87182,93247,photon,0,4.0
0.4,2,0.95974,0.98336,0.95974,113253,photon,0,4.0
0.4,3,0.98699,0.99075,0.98699,93247,photon,0,4.0
0.4,4,0.99455,0.99616,0.99455,93247,photon,0,4.0
0.4,5,0.99765,0.99836,0.99765,93247,photon,0,4.0
0.4,6,0.99902,0.9993,0.99902,83244,photon,0,4.0
0.4,7,0.99957,0.99964,0.99957,113253,photon,0,4.0
0.4,8,0.99986,0.99982,0.99982,93247,su2,14,118.5917319792576
0.4,9,0.99991,0.99992,0.99991,73241,photon,0,4.0
0.4,10,0.99996,0.99996,0.99996,73241,su2,3,8.269654532532142
0.4,11,0.99997,0.99997,0.99997,73241,su2,17,245.17816347077607
0.4,12,0.99998,0.99999,0.99998,73241,photon,1,4.827709658906259
