mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
0.3,73241,photon,0,3.0000000000000004,1,100000,0.89386,0.89386,0.10614,0.0,-8.643051549567467,4.819007730787691
0.3,73241,photon,0,3.0000000000000004,2,100000,0.97766,0.97766,0.02234,0.0,-17.191702858578243,6.891516524678233
0.3,73241,photon,0,3.0000000000000004,3,100000,0.99307,0.99307,0.00693,0.0,-25.686729289635977,8.497761787513657
0.3,73241,photon,0,3.0000000000000004,4,100000,0.99724,0.99724,0.00276,0.0,-34.209561567750605,9.81736889552186
0.3,73241,photon,0,3.0000000000000004,5,100000,0.99907,0.99907,0.00093,0.0,-42.67343941652827,11.009088828943964
0.3,73241,photon,0,3.0000000000000004,6,100000,0.99962,0.99962,0.00038,0.0,-51.1249852033923,12.069810948185431
0.3,73241,photon,0,3.0000000000000004,7,100000,0.99982,0.99982,0.00018,0.0,-59.6144188271906,13.004404140756757
0.3,73241,photon,0,3.0000000000000004,8,100000,0.9999,0.9999,0.0001,0.0,-68.11246941565724,13.88714012767812
0.3,73241,photon,0,3.0000000000000004,9,100000,0.99995,0.99995,5e-05,0.0,-76.59158639893627,14.711560096400284
0.3,73241,photon,0,3.0000000000000004,10,100000,0.99999,0.99999,1e-05,0.0,-85.09318078227697,15.504509600599864
0.3,73241,photon,0,3.0000000000000004,11,100000,0.99999,0.99999,1e-05,0.0,-93.55892000104818,16.309743738832445
0.3,73241,photon,0,3.0000000000000004,12,100000,0.99999,0.99999,1e-05,0.0,-102.01811606778588,17.04877725964821
0.3,73241,photon,1,3.8038567214123518,1,100000,0.9014,0.9014,0.0986,0.0,-8.820424227451225,4.666657343494683
0.3,73241,photon,1,3.8038567214123518,2,100000,0.98187,0.98187,0.01813,0.0,-17.613089507163405,6.62726434639626
0.3,73241,photon,1,3.8038567214123518,3,100000,0.99471,0.99471,0.00529,0.0,-26.35473501960259,8.17513235582617
0.3,73241,photon,1,3.8038567214123518,4,100000,0.99784,0.99784,0.00216,0.0,-35.07196908447289,9.46006589490606
0.3,73241,photon,1,3.8038567214123518,5,100000,0.99933,0.99933,0.00067,0.0,-43.75954897403377,10.580135254082348
0.3,73241,photon,1,3.8038567214123518,6,100000,0.9998,0.9998,0.0002,0.0,-52.4318519774198,11.592951676215955
0.3,73241,photon,1,3.8038567214123518,7,100000,0.99994,0.99994,6e-05,0.0,-61.10300724021006,12.526855173375768
0.3,73241,photon,1,3.8038567214123518,8,100000,0.99999,0.99999,1e-05,0.0,-69.8123174496904,13.382889465661272
0.3,73241,photon,1,3.8038567214123518,9,100000,1.0,1.0,0.0,0.0,-78.53183625485423,14.19345522782352
0.3,73241,photon,1,3.8038567214123518,10,100000,1.0,1.0,0.0,0.0,-87.23547129645002,14.977448003957166
