mass_GeV,seed,number_of_events,photon_truth_worst_accuracy,photon_limiting_lifetime_index,photon_limiting_ctau_m,su2_truth_worst_accuracy,su2_limiting_lifetime_index,su2_limiting_ctau_m,worst_case_correct_fraction,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.9,73241,1,0.76168,1,9.359318126242535,0.84061,12,55.844947206286946,0.76168,photon,1,9.359318126242535
0.9,73241,2,0.85762,0,9.000000000000002,0.9231,18,139.10878977701455,0.85762,photon,0,9.000000000000002
0.9,73241,3,0.91654,0,9.000000000000002,0.95438,12,55.844947206286946,0.91654,photon,0,9.000000000000002
0.9,73241,4,0.94969,0,9.000000000000002,0.96949,19,161.9632018008689,0.94969,photon,0,9.000000000000002
0.9,73241,5,0.96758,0,9.000000000000002,0.97952,19,161.9632018008689,0.96758,photon,0,9.000000000000002
0.9,73241,6,0.97898,0,9.000000000000002,0.98648,15,88.1392252123188,0.97898,photon,0,9.000000000000002
0.9,73241,7,0.9869,0,9.000000000000002,0.99119,19,161.9632018008689,0.9869,photon,0,9.000000000000002
0.9,73241,8,0.99147,0,9.000000000000002,0.99385,19,161.9632018008689,0.99147,photon,0,9.000000000000002
0.9,73241,9,0.99419,0,9.000000000000002,0.99611,14,75.70201635210961,0.99419,photon,0,9.000000000000002
0.9,73241,10,0.99611,0,9.000000000000002,0.99746,16,102.61976358587921,0.99611,photon,0,9.000000000000002
0.9,73241,11,0.99754,0,9.000000000000002,0.99826,16,102.61976358587921,0.99754,photon,0,9.000000000000002
0.9,73241,12,0.9984,0,9.000000000000002,0.99875,16,102.61976358587921,0.9984,photon,0,9.000000000000002
0.9,83244,1,0.75975,0,9.000000000000002,0.83908,12,55.844947206286946,0.75975,photon,0,9.000000000000002
0.9,83244,2,0.8558,0,9.000000000000002,0.92179,16,102.61976358587921,0.8558,photon,0,9.000000000000002
0.9,83244,3,0.91585,0,9.000000000000002,0.95329,19,161.9632018008689,0.91585,photon,0,9.000000000000002
0.9,83244,4,0.94911,0,9.000000000000002,0.96912,14,75.70201635210961,0.94911,photon,0,9.000000000000002
0.9,83244,5,0.9679,0,9.000000000000002,0.97941,19,161.9632018008689,0.9679,photon,0,9.000000000000002
0.9,83244,6,0.97936,0,9.000000000000002,0.98682,19,161.9632018008689,0.97936,photon,0,9.000000000000002
0.9,83244,7,0.98691,0,9.000000000000002,0.99113,19,161.9632018008689,0.98691,photon,0,9.000000000000002
0.9,83244,8,0.99119,0,9.000000000000002,0.99436,15,88.1392252123188,0.99119,photon,0,9.000000000000002
0.9,83244,9,0.99393,0,9.000000000000002,0.99603,18,139.10878977701455,0.99393,photon,0,9.000000000000002
0.9,83244,10,0.9957,0,9.000000000000002,0.99748,16,102.61976358587921,0.9957,photon,0,9.000000000000002
0.9,83244,11,0.99716,0,9.000000000000002,0.9982,18,139.10878977701455,0.99716,photon,0,9.000000000000002
0.9,83244,12,0.99812,0,9.000000000000002,0.9988,14,75.70201635210961,0.99812,photon,0,9.000000000000002
0.9,93247,1,0.76336,0,9.000000000000002,0.84033,18,139.10878977701455,0.76336,photon,0,9.000000000000002
0.9,93247,2,0.85798,0,9.000000000000002,0.92209,16,102.61976358587921,0.85798,photon,0,9.000000000000002
0.9,93247,3,0.91933,0,9.000000000000002,0.95339,19,161.9632018008689,0.91933,photon,0,9.000000000000002
0.9,93247,4,0.95131,0,9.000000000000002,0.96863,19,161.9632018008689,0.95131,photon,0,9.000000000000002
0.9,93247,5,0.96948,0,9.000000000000002,0.97996,18,139.10878977701455,0.96948,photon,0,9.000000000000002
0.9,93247,6,0.98032,0,9.000000000000002,0.98669,19,161.9632018008689,0.98032,photon,0,9.000000000000002
0.9,93247,7,0.98732,1,9.359318126242535,0.99109,19,161.9632018008689,0.98732,photon,1,9.359318126242535
0.9,93247,8,0.99177,0,9.000000000000002,0.99433,12,55.844947206286946,0.99177,photon,0,9.000000000000002
0.9,93247,9,0.9945,2,9.732981754245785,0.99618,19,161.9632018008689,0.9945,photon,2,9.732981754245785
0.9,93247,10,0.99651,1,9.359318126242535,0.99743,19,161.9632018008689,0.99651,photon,1,9.359318126242535
0.9,93247,11,0.99754,1,9.359318126242535,0.99834,19,161.9632018008689,0.99754,photon,1,9.359318126242535
