mass_GeV,number_of_events,photon_truth_worst_accuracy,su2_truth_worst_accuracy,worst_case_correct_fraction,limiting_seed,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.5,1,0.85089,0.91501,0.85089,73241,photon,0,4.999999999999999
0.5,2,0.94443,0.97378,0.94443,83244,photon,0,4.999999999999999
0.5,3,0.97931,0.98779,0.97931,83244,photon,0,4.999999999999999
0.5,4,0.99083,0.99408,0.99083,113253,photon,0,4.999999999999999
0.5,5,0.99601,0.99717,0.99601,83244,photon,0,4.999999999999999
0.5,6,0.99812,0.99879,0.99812,83244,photon,0,4.999999999999999
0.5,7,0.99921,0.99942,0.99921,73241,photon,0,4.999999999999999
0.5,8,0.99958,0.99972,0.99958,73241,photon,0,4.999999999999999
0.5,9,0.99982,0.99984,0.99982,103250,photon,2,6.734011006120271
0.5,10,0.99989,0.99991,0.99989,93247,photon,1,5.802590372463091
0.5,11,0.99993,0.99994,0.99993,83244,photon,2,6.734011006120271
0.5,12,0.99997,0.99996,0.99996,93247,su2,16,162.76721762560175
