mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
0.75,73241,photon,0,7.499999999999999,1,100000,0.79711,0.79711,0.20289,0.0,-5.495803891732265,5.693440647486476
0.75,73241,photon,0,7.499999999999999,2,100000,0.89186,0.89186,0.10814,0.0,-10.896797874034307,8.049262079002864
0.75,73241,photon,0,7.499999999999999,3,100000,0.94509,0.94509,0.05491,0.0,-16.370657096852337,9.840769504748497
0.75,73241,photon,0,7.499999999999999,4,100000,0.97056,0.97056,0.02944,0.0,-21.796581758885143,11.392951622628638
0.75,73241,photon,0,7.499999999999999,5,100000,0.98439,0.98439,0.01561,0.0,-27.231483315697776,12.721683325120784
0.75,73241,photon,0,7.499999999999999,6,100000,0.99116,0.99116,0.00884,0.0,-32.6765532682437,13.932928438142484
0.75,73241,photon,0,7.499999999999999,7,100000,0.99474,0.99474,0.00526,0.0,-38.111654488520145,15.038642883649455
0.75,73241,photon,0,7.499999999999999,8,100000,0.99696,0.99696,0.00304,0.0,-43.55927522455818,16.060449519033074
0.75,73241,photon,0,7.499999999999999,9,100000,0.99829,0.99829,0.00171,0.0,-48.97101270234262,17.032030892750186
0.75,73241,photon,0,7.499999999999999,10,100000,0.99895,0.99895,0.00105,0.0,-54.35265173840525,17.926103211362754
0.75,73241,photon,0,7.499999999999999,11,100000,0.99937,0.99937,0.00063,0.0,-59.769037542775955,18.79447410925348
0.75,73241,photon,0,7.499999999999999,12,100000,0.99968,0.99968,0.00032,0.0,-65.18464346491862,19.617157625428685
0.75,73241,photon,1,8.078346172301348,1,100000,0.79861,0.79861,0.20139,0.0,-5.544822676761596,5.676762498386718
0.75,73241,photon,1,8.078346172301348,2,100000,0.89594,0.89594,0.10406,0.0,-11.035714080666185,8.020637167460746
0.75,73241,photon,1,8.078346172301348,3,100000,0.94734,0.94734,0.05266,0.0,-16.521178929925846,9.80456293787142
0.75,73241,photon,1,8.078346172301348,4,100000,0.97269,0.97269,0.02731,0.0,-22.019927587704537,11.316894789128344
0.75,73241,photon,1,8.078346172301348,5,100000,0.98511,0.98511,0.01489,0.0,-27.513980510636138,12.651100679344948
0.75,73241,photon,1,8.078346172301348,6,100000,0.99157,0.99157,0.00843,0.0,-32.97068569024757,13.847028910756611
0.75,73241,photon,1,8.078346172301348,7,100000,0.9953,0.9953,0.0047,0.0,-38.4468994360728,14.968186925114551
0.75,73241,photon,1,8.078346172301348,8,100000,0.9977,0.9977,0.0023,0.0,-43.954802185889605,16.01413773405639
0.75,73241,photon,1,8.078346172301348,9,100000,0.99865,0.99865,0.00135,0.0,-49.411803911959126,16.9862410757588
0.75,73241,photon,1,8.078346172301348,10,100000,0.9993,0.9993,0.0007,0.0,-54.90491172560153,17.899874936872404
0.75,73241,photon,1,8.078346172301348,11,100000,0.99955,0.99955,0.00045,0.0,-60.37973951075406,18.776451100344627
0.75,73241,photon,1,8.078346172301348,12,100000,0.99972,0.99972,0.00028,0.0,-65.88090296566875,19.60021244769308
0.75,73241,photon,2,8.70129025060478,1,100000,0.79919,0.79919,0.20081,0.0,-5.590565441078417,5.687414267747387
0.75,73241,photon,2,8.70129025060478,2,100000,0.89585,0.89585,0.10415,0.0,-11.10410924152769,8.053614831062053
0.75,73241,photon,2,8.70129025060478,3,100000,0.9473,0.9473,0.0527,0.0,-16.667183944424043,9.842663226643438
0.75,73241,photon,2,8.70129025060478,4,100000,0.97261,0.97261,0.02739,0.0,-22.22431892530289,11.365379852078842
0.75,73241,photon,2,8.70129025060478,5,100000,0.98447,0.98447,0.01553,0.0,-27.745157350447727,12.723448731387895
0.75,73241,photon,2,8.70129025060478,6,100000,0.9917,0.9917,0.0083,0.0,-33.28241392572701,13.928701439555699
0.75,73241,photon,2,8.70129025060478,7,100000,0.99563,0.99563,0.00437,0.0,-38.81511638167823,15.050518288905646
0.75,73241,photon,2,8.70129025060478,8,100000,0.99755,0.99755,0.00245,0.0,-44.33697071562247,16.084279600372255
0.75,73241,photon,2,8.70129025060478,9,100000,0.99865,0.99865,0.00135,0.0,-49.863367060451246,17.03526014298505
0.75,73241,photon,2,8.70129025060478,10,100000,0.99924,0.99924,0.00076,0.0,-55.39155126947669,17.943086121261352
0.75,73241,photon,2,8.70129025060478,11,100000,0.99955,0.99955,0.00045,0.0,-60.9298245784808,18.79721878979885
0.75,73241,photon,2,8.70129025060478,12,100000,0.99973,0.99973,0.00027,0.0,-66.49172258466847,19.601881611446668
0.75,73241,photon,3,9.372271305340822,1,100000,0.80361,0.80361,0.19639,0.0,-5.6401632706910725,5.677581627204051
0.75,73241,photon,3,9.372271305340822,2,100000,0.90006,0.90006,0.09994,0.0,-11.225077480315086,8.027116079895977
0.75,73241,photon,3,9.372271305340822,3,100000,0.94942,0.94942,0.05058,0.0,-16.82377283371971,9.8131022198985
0.75,73241,photon,3,9.372271305340822,4,100000,0.97436,0.97436,0.02564,0.0,-22.404049271905286,11.324965606719
0.75,73241,photon,3,9.372271305340822,5,100000,0.98542,0.98542,0.01458,0.0,-28.000449918815203,12.698289909629057
0.75,73241,photon,3,9.372271305340822,6,100000,0.99219,0.99219,0.00781,0.0,-33.5883938410455,13.91874900465324
0.75,73241,photon,3,9.372271305340822,7,100000,0.99529,0.99529,0.00471,0.0,-39.185814485425546,15.024387966167332
0.75,73241,photon,3,9.372271305340822,8,100000,0.99765,0.99765,0.00235,0.0,-44.75108760583308,16.06981007345591
0.75,73241,photon,3,9.372271305340822,9,100000,0.99854,0.99854,0.00146,0.0,-50.31232560031414,17.019622299918964
0.75,73241,photon,3,9.372271305340822,10,100000,0.99917,0.99917,0.00083,0.0,-55.89608008722626,17.92603056239399
0.75,73241,photon,3,9.372271305340822,11,100000,0.99951,0.99951,0.00049,0.0,-61.47481797450963,18.816932957260562
0.75,73241,photon,3,9.372271305340822,12,100000,0.99973,0.99973,0.00027,0.0,-67.03280956548325,19.637417287913546
0.75,73241,photon,4,10.094993603369304,1,100000,0.80721,0.80721,0.19279,0.0,-5.724007446719087,5.6620009487117935
