mass_GeV,seed,number_of_events,photon_truth_worst_accuracy,photon_limiting_lifetime_index,photon_limiting_ctau_m,su2_truth_worst_accuracy,su2_limiting_lifetime_index,su2_limiting_ctau_m,worst_case_correct_fraction,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.5,73241,1,0.85089,0,4.999999999999999,0.91536,11,54.81259928252777,0.85089,photon,0,4.999999999999999
0.5,73241,2,0.94502,0,4.999999999999999,0.97378,13,84.71396599176529,0.94502,photon,0,4.999999999999999
0.5,73241,3,0.9799,0,4.999999999999999,0.98779,13,84.71396599176529,0.9799,photon,0,4.999999999999999
0.5,73241,4,0.99118,0,4.999999999999999,0.99408,13,84.71396599176529,0.99118,photon,0,4.999999999999999
0.5,73241,5,0.99603,0,4.999999999999999,0.99717,13,84.71396599176529,0.99603,photon,0,4.999999999999999
0.5,73241,6,0.99828,0,4.999999999999999,0.99882,11,54.81259928252777,0.99828,photon,0,4.999999999999999
0.5,73241,7,0.99921,0,4.999999999999999,0.99942,13,84.71396599176529,0.99921,photon,0,4.999999999999999
0.5,73241,8,0.99958,0,4.999999999999999,0.99972,16,162.76721762560175,0.99958,photon,0,4.999999999999999
0.5,73241,9,0.99986,0,4.999999999999999,0.99987,8,28.527812536680912,0.99986,photon,0,4.999999999999999
0.5,73241,10,0.99993,0,4.999999999999999,0.99993,18,251.55998290533202,0.99993,photon,0,4.999999999999999
0.5,73241,11,0.99996,5,10.525180396367567,0.99994,18,251.55998290533202,0.99994,su2,18,251.55998290533202
0.5,73241,12,0.99998,1,5.802590372463091,0.99998,0,4.999999999999999,0.99998,su2,0,4.999999999999999
0.5,83244,1,0.85102,0,4.999999999999999,0.91526,18,251.55998290533202,0.85102,photon,0,4.999999999999999
0.5,83244,2,0.94443,0,4.999999999999999,0.97397,19,312.7367113960327,0.94443,photon,0,4.999999999999999
0.5,83244,3,0.97931,0,4.999999999999999,0.98852,9,35.46547496547396,0.97931,photon,0,4.999999999999999
0.5,83244,4,0.9911,0,4.999999999999999,0.99484,12,68.14244397980099,0.9911,photon,0,4.999999999999999
