mass_GeV,number_of_events,photon_truth_worst_accuracy,su2_truth_worst_accuracy,worst_case_correct_fraction,limiting_seed,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.3,1,0.89092,0.96134,0.89092,113253,photon,0,3.0000000000000004
0.3,2,0.97699,0.98623,0.97699,83244,photon,0,3.0000000000000004
0.3,3,0.99291,0.9931,0.99291,113253,photon,0,3.0000000000000004
0.3,4,0.99711,0.99779,0.99711,93247,photon,0,3.0000000000000004
0.3,5,0.999,0.99922,0.999,103250,photon,0,3.0000000000000004
0.3,6,0.99961,0.99964,0.99961,93247,photon,0,3.0000000000000004
0.3,7,0.99982,0.99987,0.99982,73241,photon,0,3.0000000000000004
0.3,8,0.9999,0.99992,0.9999,73241,photon,0,3.0000000000000004
0.3,9,0.99995,0.99996,0.99995,73241,photon,0,3.0000000000000004
0.3,10,0.99999,0.99998,0.99998,73241,su2,19,541.4632591035622
0.3,11,0.99999,0.99999,0.99999,73241,photon,0,3.0000000000000004
0.3,12,0.99999,0.99999,0.99999,73241,photon,0,3.0000000000000004
