mass_GeV,number_of_events,photon_truth_worst_accuracy,su2_truth_worst_accuracy,worst_case_correct_fraction,limiting_seed,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.9,1,0.75975,0.83737,0.75975,83244,photon,0,9.000000000000002
0.9,2,0.8558,0.92175,0.8558,83244,photon,0,9.000000000000002
0.9,3,0.91585,0.95265,0.91585,83244,photon,0,9.000000000000002
0.9,4,0.94911,0.96843,0.94911,83244,photon,0,9.000000000000002
0.9,5,0.96758,0.97939,0.96758,73241,photon,0,9.000000000000002
0.9,6,0.97898,0.98648,0.97898,73241,photon,0,9.000000000000002
0.9,7,0.98667,0.99108,0.98667,113253,photon,0,9.000000000000002
0.9,8,0.99119,0.99385,0.99119,83244,photon,0,9.000000000000002
0.9,9,0.99393,0.99603,0.99393,83244,photon,0,9.000000000000002
0.9,10,0.9957,0.99728,0.9957,83244,photon,0,9.000000000000002
0.9,11,0.99716,0.9982,0.99716,83244,photon,0,9.000000000000002
0.9,12,0.99812,0.99873,0.99812,83244,photon,0,9.000000000000002
