mass_GeV,seed,number_of_events,photon_truth_worst_accuracy,photon_limiting_lifetime_index,photon_limiting_ctau_m,su2_truth_worst_accuracy,su2_limiting_lifetime_index,su2_limiting_ctau_m,worst_case_correct_fraction,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
1.05,73241,1,0.71962,4,10.81912090854495,0.81537,19,135.70125429330454,0.71962,photon,4,10.81912090854495
1.05,73241,2,0.81328,0,10.5,0.89618,19,135.70125429330454,0.81328,photon,0,10.5
1.05,73241,3,0.87594,3,10.738442733687481,0.9323,19,135.70125429330454,0.87594,photon,3,10.738442733687481
1.05,73241,4,0.91882,0,10.5,0.95136,19,135.70125429330454,0.91882,photon,0,10.5
1.05,73241,5,0.94427,6,10.98230022330338,0.96511,12,52.85945817382395,0.94427,photon,6,10.98230022330338
1.05,73241,6,0.96096,3,10.738442733687481,0.97462,14,69.20087860891422,0.96096,photon,3,10.738442733687481
1.05,73241,7,0.97192,2,10.658366175907164,0.9819,14,69.20087860891422,0.97192,photon,2,10.658366175907164
1.05,73241,8,0.98017,2,10.658366175907164,0.98678,12,52.85945817382395,0.98017,photon,2,10.658366175907164
1.05,73241,9,0.98546,2,10.658366175907164,0.99046,14,69.20087860891422,0.98546,photon,2,10.658366175907164
1.05,73241,10,0.98963,3,10.738442733687481,0.99286,14,69.20087860891422,0.98963,photon,3,10.738442733687481
1.05,73241,11,0.9926,3,10.738442733687481,0.99488,12,52.85945817382395,0.9926,photon,3,10.738442733687481
1.05,73241,12,0.99455,3,10.738442733687481,0.99616,14,69.20087860891422,0.99455,photon,3,10.738442733687481
1.05,83244,1,0.7188,11,11.401097398720731,0.812,17,103.65612286501181,0.7188,photon,11,11.401097398720731
1.05,83244,2,0.81274,4,10.81912090854495,0.89569,17,103.65612286501181,0.81274,photon,4,10.81912090854495
1.05,83244,3,0.87603,4,10.81912090854495,0.93209,17,103.65612286501181,0.87603,photon,4,10.81912090854495
1.05,83244,4,0.91848,4,10.81912090854495,0.95093,17,103.65612286501181,0.91848,photon,4,10.81912090854495
1.05,83244,5,0.94412,3,10.738442733687481,0.96505,15,79.17827925291732,0.94412,photon,3,10.738442733687481
