mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
0.4,73241,photon,0,4.0,1,100000,0.87275,0.87275,0.12725,0.0,-8.103655599025545,5.3627873130024675
0.4,73241,photon,0,4.0,2,100000,0.96213,0.96213,0.03787,0.0,-16.13048882822462,7.612381727731878
0.4,73241,photon,0,4.0,3,100000,0.9876,0.9876,0.0124,0.0,-24.094567450548116,9.367986234753849
0.4,73241,photon,0,4.0,4,100000,0.99479,0.99479,0.00521,0.0,-32.02344363355958,10.821769428336658
0.4,73241,photon,0,4.0,5,100000,0.99811,0.99811,0.00189,0.0,-39.98786776302955,12.053714616158265
0.4,73241,photon,0,4.0,6,100000,0.99924,0.99924,0.00076,0.0,-47.9633138922744,13.22252881475185
0.4,73241,photon,0,4.0,7,100000,0.99967,0.99967,0.00033,0.0,-55.937560752142836,14.278179038677754
0.4,73241,photon,0,4.0,8,100000,0.99987,0.99987,0.00013,0.0,-63.877259795877144,15.291130805779991
0.4,73241,photon,0,4.0,9,100000,0.99991,0.99991,9e-05,0.0,-71.82653273744369,16.192853992832166
0.4,73241,photon,0,4.0,10,100000,0.99997,0.99997,3e-05,0.0,-79.81919679286779,17.069991376917887
0.4,73241,photon,0,4.0,11,100000,0.99999,0.99999,1e-05,0.0,-87.77271686629653,17.89971655116696
0.4,73241,photon,0,4.0,12,100000,1.0,1.0,0.0,0.0,-95.7202851823193,18.692007421677243
0.4,73241,photon,1,4.827709658906259,1,100000,0.87895,0.87895,0.12105,0.0,-8.256105647924116,5.271766758632664
0.4,73241,photon,1,4.827709658906259,2,100000,0.96486,0.96486,0.03514,0.0,-16.452247980421543,7.485533268287333
0.4,73241,photon,1,4.827709658906259,3,100000,0.9894,0.9894,0.0106,0.0,-24.63956578114727,9.185216919438258
0.4,73241,photon,1,4.827709658906259,4,100000,0.99552,0.99552,0.00448,0.0,-32.76060690541579,10.621647158347491
