mass_GeV,number_of_events,photon_truth_worst_accuracy,su2_truth_worst_accuracy,worst_case_correct_fraction,limiting_seed,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
1.05,1,0.7174,0.812,0.7174,113253,photon,0,10.5
1.05,2,0.81147,0.89569,0.81147,113253,photon,0,10.5
1.05,3,0.87518,0.93182,0.87518,103250,photon,0,10.5
1.05,4,0.91759,0.95042,0.91759,103250,photon,6,10.98230022330338
1.05,5,0.94321,0.96456,0.94321,103250,photon,0,10.5
1.05,6,0.96057,0.97443,0.96057,113253,photon,0,10.5
1.05,7,0.97185,0.98161,0.97185,103250,photon,1,10.578886748946001
1.05,8,0.97981,0.98678,0.97981,113253,photon,0,10.5
1.05,9,0.98546,0.99046,0.98546,73241,photon,2,10.658366175907164
1.05,10,0.98933,0.99286,0.98933,113253,photon,8,11.147940688925186
1.05,11,0.99225,0.99488,0.99225,113253,photon,0,10.5
1.05,12,0.99417,0.99616,0.99417,113253,photon,8,11.147940688925186
