model,mass_GeV,event_level,interval_index,unit_coupling_ctau_m,coupling_min_GeV_inv,coupling_max_GeV_inv,coupling_min_inclusive,coupling_max_inclusive,ctau_min_m,ctau_max_m,ctau_min_inclusive,ctau_max_inclusive
ALP-photon-combined,0.3,2.3,0,1.4535747020615606e-12,3.1098508707732934e-08,1.4525889884425057e-07,True,False,68.88931410244032,1502.9973990357405,False,True
ALP-photon-combined,0.3,2.3,1,1.4535747020615606e-12,1.3702110011191723e-06,2.276853956773524e-05,False,True,0.0028039289614323376,0.7742165590370814,True,False
ALP-SU2L,0.3,2.3,0,2.723464000360092e-07,1.4153263491636258e-05,6.467314668782649e-05,True,False,65.1138919719812,1359.5915444737743,False,True
ALP-SU2L,0.3,2.3,1,2.723464000360092e-07,0.0006661444203377909,0.001976310276438679,False,False,0.06972866993943505,0.6137405947656982,False,False
ALP-photon-combined,0.4,2.3,0,6.125857337202702e-13,2.911221829597361e-08,1.4110884058403456e-07,True,False,30.765107110344143,722.7968983052936,False,True
ALP-photon-combined,0.4,2.3,1,6.125857337202702e-13,5.284311678748374e-07,1.196699098083456e-05,False,True,0.004277568284062898,2.1937646196749556,True,False
ALP-SU2L,0.4,2.3,0,1.1489613799821437e-07,1.0545733881929156e-05,6.262109350487962e-05,True,False,29.299764979943028,1033.122488810031,False,True
ALP-SU2L,0.4,2.3,1,1.1489613799821437e-07,0.0002974941994359772,0.0016125853149586518,False,False,0.044183491279825605,1.2982203917664585,False,False
ALP-photon-combined,0.5,2.3,0,3.1334706740634167e-13,2.8045989163464053e-08,7.27726899602677e-06,True,True,0.005916825724739442,398.3676931475912,True,True
ALP-SU2L,0.5,2.3,0,5.882682251322732e-08,8.445487706512426e-06,6.935268223953775e-05,True,False,12.23063107989504,824.7568338527273,False,True
ALP-SU2L,0.5,2.3,1,5.882682251322732e-08,0.00014306460056071917,0.0034816655986531515,False,True,0.0048528992842466765,2.8741605075015078,True,False
ALP-photon-combined,0.6,2.3,0,1.8118173912794833e-13,2.748686716048744e-08,4.806340802903017e-06,True,True,0.007843055711618351,239.8081489907848,True,True
ALP-SU2L,0.6,2.3,0,3.4043300038874086e-08,7.0059592110498274e-06,0.002368857634539947,True,True,0.006066716917709906,693.5798116254772,True,True
ALP-photon-combined,0.75,2.3,0,9.266069056993658e-14,2.7068920709704574e-08,2.853866044241918e-06,True,True,0.011377015876806134,126.46013835661726,True,True
ALP-SU2L,0.75,2.3,0,1.7430169598846433e-08,5.568123395429318e-06,0.001168066010494887,True,False,0.012775174461587973,562.1910282782773,False,True
ALP-photon-combined,0.9,2.3,0,5.357106902923424e-14,2.692238578340917e-08,1.853263395654647e-06,True,True,0.01559753673193578,73.91000414211419,True,True
ALP-SU2L,0.9,2.3,0,1.0086903686300336e-08,4.5932037566573e-06,0.000857801683530174,True,False,0.013708315319015457,478.10848515073536,False,True
