mass_GeV,model,lifetime_index,ctau_m,bin_index,energy_low_GeV,energy_high_GeV,probability
1.0,ALP-photon-combined,0,10.000000000000002,0,1.0,25.41630393831867,0.26941036057070494
1.0,ALP-photon-combined,0,10.000000000000002,1,25.41630393831867,28.651911110982937,0.07696773468126858
1.0,ALP-photon-combined,0,10.000000000000002,2,28.651911110982937,32.299425294249666,0.07997670426025591
1.0,ALP-photon-combined,0,10.000000000000002,3,32.299425294249666,36.411284060521595,0.08172918669660999
1.0,ALP-photon-combined,0,10.000000000000002,4,36.411284060521595,41.046600515583364,0.07984297201887212
1.0,ALP-photon-combined,0,10.000000000000002,5,41.046600515583364,46.27201312333376,0.07696340342140157
1.0,ALP-photon-combined,0,10.000000000000002,6,46.27201312333376,52.16264371694075,0.06891331951734175
1.0,ALP-photon-combined,0,10.000000000000002,7,52.16264371694075,58.80317746902607,0.059169123090385946
1.0,ALP-photon-combined,0,10.000000000000002,8,58.80317746902607,66.28908034679972,0.05078282138583598
1.0,ALP-photon-combined,0,10.000000000000002,9,66.28908034679972,74.72797155458294,0.039979622861604475
1.0,ALP-photon-combined,0,10.000000000000002,10,74.72797155458294,84.24117069429447,0.03144724221415913
1.0,ALP-photon-combined,0,10.000000000000002,11,84.24117069429447,94.96544188626557,0.02489792766837652
1.0,ALP-photon-combined,0,10.000000000000002,12,94.96544188626557,107.05495992429856,0.018632694972155833
1.0,ALP-photon-combined,0,10.000000000000002,13,107.05495992429856,120.68352673090327,0.0137752535933059
1.0,ALP-photon-combined,0,10.000000000000002,14,120.68352673090327,136.0470699770249,0.009736951071752693
1.0,ALP-photon-combined,0,10.000000000000002,15,136.0470699770249,153.3664597870422,0.006277002798178415
1.0,ALP-photon-combined,0,10.000000000000002,16,153.3664597870422,172.89068402268873,0.00429387287432468
1.0,ALP-photon-combined,0,10.000000000000002,17,172.89068402268873,194.9004277945695,0.002923332546753073
1.0,ALP-photon-combined,0,10.000000000000002,18,194.9004277945695,219.71210866122348,0.0019441704928413474
1.0,ALP-photon-combined,0,10.000000000000002,19,219.71210866122348,247.6824255267556,0.0011941943244696172
1.0,ALP-photon-combined,0,10.000000000000002,20,247.6824255267556,400.0,0.001142108939401469
1.0,ALP-photon-combined,1,10.181372917310114,0,1.0,25.41630393831867,0.27085020389686965
1.0,ALP-photon-combined,1,10.181372917310114,1,25.41630393831867,28.651911110982937,0.07707011215277881
1.0,ALP-photon-combined,1,10.181372917310114,2,28.651911110982937,32.299425294249666,0.079733803370871
1.0,ALP-photon-combined,1,10.181372917310114,3,32.299425294249666,36.411284060521595,0.08140132485206232
1.0,ALP-photon-combined,1,10.181372917310114,4,36.411284060521595,41.046600515583364,0.08021927147385009
1.0,ALP-photon-combined,1,10.181372917310114,5,41.046600515583364,46.27201312333376,0.07696905373516001
1.0,ALP-photon-combined,1,10.181372917310114,6,46.27201312333376,52.16264371694075,0.06855213234825909
1.0,ALP-photon-combined,1,10.181372917310114,7,52.16264371694075,58.80317746902607,0.05895327386594682
1.0,ALP-photon-combined,1,10.181372917310114,8,58.80317746902607,66.28908034679972,0.05062961645951519
1.0,ALP-photon-combined,1,10.181372917310114,9,66.28908034679972,74.72797155458294,0.03980308193334458
1.0,ALP-photon-combined,1,10.181372917310114,10,74.72797155458294,84.24117069429447,0.03135699923616233
1.0,ALP-photon-combined,1,10.181372917310114,11,84.24117069429447,94.96544188626557,0.02474504015982322
1.0,ALP-photon-combined,1,10.181372917310114,12,94.96544188626557,107.05495992429856,0.018586440803937603
1.0,ALP-photon-combined,1,10.181372917310114,13,107.05495992429856,120.68352673090327,0.01373516285366797
1.0,ALP-photon-combined,1,10.181372917310114,14,120.68352673090327,136.0470699770249,0.00970027710799884
1.0,ALP-photon-combined,1,10.181372917310114,15,136.0470699770249,153.3664597870422,0.006242830460115683
1.0,ALP-photon-combined,1,10.181372917310114,16,153.3664597870422,172.89068402268873,0.0042791501478300605
1.0,ALP-photon-combined,1,10.181372917310114,17,172.89068402268873,194.9004277945695,0.0029076228404210378
1.0,ALP-photon-combined,1,10.181372917310114,18,194.9004277945695,219.71210866122348,0.0019385945231106488
1.0,ALP-photon-combined,1,10.181372917310114,19,219.71210866122348,247.6824255267556,0.0011881407960974036
1.0,ALP-photon-combined,1,10.181372917310114,20,247.6824255267556,400.0,0.0011378669821776335
1.0,ALP-photon-combined,2,10.36603544813358,0,1.0,25.41630393831867,0.27147043115931946
1.0,ALP-photon-combined,2,10.36603544813358,1,25.41630393831867,28.651911110982937,0.0767440036430811
1.0,ALP-photon-combined,2,10.36603544813358,2,28.651911110982937,32.299425294249666,0.07984279678963559
1.0,ALP-photon-combined,2,10.36603544813358,3,32.299425294249666,36.411284060521595,0.08145162644114119
1.0,ALP-photon-combined,2,10.36603544813358,4,36.411284060521595,41.046600515583364,0.08025231597184988
1.0,ALP-photon-combined,2,10.36603544813358,5,41.046600515583364,46.27201312333376,0.07686186162534618
1.0,ALP-photon-combined,2,10.36603544813358,6,46.27201312333376,52.16264371694075,0.06851409374070504
1.0,ALP-photon-combined,2,10.36603544813358,7,52.16264371694075,58.80317746902607,0.0587406529201177
1.0,ALP-photon-combined,2,10.36603544813358,8,58.80317746902607,66.28908034679972,0.05065079333133555
1.0,ALP-photon-combined,2,10.36603544813358,9,66.28908034679972,74.72797155458294,0.039820607497437814
1.0,ALP-photon-combined,2,10.36603544813358,10,74.72797155458294,84.24117069429447,0.031273651616847656
1.0,ALP-photon-combined,2,10.36603544813358,11,84.24117069429447,94.96544188626557,0.024772491816403855
1.0,ALP-photon-combined,2,10.36603544813358,12,94.96544188626557,107.05495992429856,0.01853696533738028
1.0,ALP-photon-combined,2,10.36603544813358,13,107.05495992429856,120.68352673090327,0.013704298838527812
1.0,ALP-photon-combined,2,10.36603544813358,14,120.68352673090327,136.0470699770249,0.009684845686188555
1.0,ALP-photon-combined,2,10.36603544813358,15,136.0470699770249,153.3664597870422,0.006259108674440431
1.0,ALP-photon-combined,2,10.36603544813358,16,153.3664597870422,172.89068402268873,0.004275509835085073
1.0,ALP-photon-combined,2,10.36603544813358,17,172.89068402268873,194.9004277945695,0.002888189262869741
1.0,ALP-photon-combined,2,10.36603544813358,18,194.9004277945695,219.71210866122348,0.0019338276349784452
1.0,ALP-photon-combined,2,10.36603544813358,19,219.71210866122348,247.6824255267556,0.0011858015383614464
1.0,ALP-photon-combined,2,10.36603544813358,20,247.6824255267556,400.0,0.0011361266389473968
1.0,ALP-photon-combined,3,10.554047257150385,0,1.0,25.41630393831867,0.2715341932896282
1.0,ALP-photon-combined,3,10.554047257150385,1,25.41630393831867,28.651911110982937,0.07717294923941477
1.0,ALP-photon-combined,3,10.554047257150385,2,28.651911110982937,32.299425294249666,0.0799062356296335
1.0,ALP-photon-combined,3,10.554047257150385,3,32.299425294249666,36.411284060521595,0.08162939595113035
1.0,ALP-photon-combined,3,10.554047257150385,4,36.411284060521595,41.046600515583364,0.0801779815902116
1.0,ALP-photon-combined,3,10.554047257150385,5,41.046600515583364,46.27201312333376,0.07664034522411563
1.0,ALP-photon-combined,3,10.554047257150385,6,46.27201312333376,52.16264371694075,0.06865912028778935
1.0,ALP-photon-combined,3,10.554047257150385,7,52.16264371694075,58.80317746902607,0.05877141029046686
1.0,ALP-photon-combined,3,10.554047257150385,8,58.80317746902607,66.28908034679972,0.05054803327361799
1.0,ALP-photon-combined,3,10.554047257150385,9,66.28908034679972,74.72797155458294,0.039633074390273484
1.0,ALP-photon-combined,3,10.554047257150385,10,74.72797155458294,84.24117069429447,0.031215988648795136
1.0,ALP-photon-combined,3,10.554047257150385,11,84.24117069429447,94.96544188626557,0.024678734606918693
1.0,ALP-photon-combined,3,10.554047257150385,12,94.96544188626557,107.05495992429856,0.01845445602688551
1.0,ALP-photon-combined,3,10.554047257150385,13,107.05495992429856,120.68352673090327,0.013687368490930623
1.0,ALP-photon-combined,3,10.554047257150385,14,120.68352673090327,136.0470699770249,0.009668665050168087
1.0,ALP-photon-combined,3,10.554047257150385,15,136.0470699770249,153.3664597870422,0.006228766194047162
1.0,ALP-photon-combined,3,10.554047257150385,16,153.3664597870422,172.89068402268873,0.004260427183943102
1.0,ALP-photon-combined,3,10.554047257150385,17,172.89068402268873,194.9004277945695,0.0028897385026599486
1.0,ALP-photon-combined,3,10.554047257150385,18,194.9004277945695,219.71210866122348,0.0019310421501883
1.0,ALP-photon-combined,3,10.554047257150385,19,219.71210866122348,247.6824255267556,0.0011809138569788664
1.0,ALP-photon-combined,3,10.554047257150385,20,247.6824255267556,400.0,0.0011311601222026087
1.0,ALP-photon-combined,4,10.745469091196195,0,1.0,25.41630393831867,0.27369907150796424
1.0,ALP-photon-combined,4,10.745469091196195,1,25.41630393831867,28.651911110982937,0.07694055554168187
1.0,ALP-photon-combined,4,10.745469091196195,2,28.651911110982937,32.299425294249666,0.0799586352211248
1.0,ALP-photon-combined,4,10.745469091196195,3,32.299425294249666,36.411284060521595,0.08160748027632422
1.0,ALP-photon-combined,4,10.745469091196195,4,36.411284060521595,41.046600515583364,0.07982205762917685
1.0,ALP-photon-combined,4,10.745469091196195,5,41.046600515583364,46.27201312333376,0.07651187401733606
1.0,ALP-photon-combined,4,10.745469091196195,6,46.27201312333376,52.16264371694075,0.068295585149099
1.0,ALP-photon-combined,4,10.745469091196195,7,52.16264371694075,58.80317746902607,0.058439186176592155
1.0,ALP-photon-combined,4,10.745469091196195,8,58.80317746902607,66.28908034679972,0.05034001845671202
1.0,ALP-photon-combined,4,10.745469091196195,9,66.28908034679972,74.72797155458294,0.03949364684687521
1.0,ALP-photon-combined,4,10.745469091196195,10,74.72797155458294,84.24117069429447,0.031131960801310567
1.0,ALP-photon-combined,4,10.745469091196195,11,84.24117069429447,94.96544188626557,0.02453501086324847
1.0,ALP-photon-combined,4,10.745469091196195,12,94.96544188626557,107.05495992429856,0.018455886341271054
1.0,ALP-photon-combined,4,10.745469091196195,13,107.05495992429856,120.68352673090327,0.013607945641692803
1.0,ALP-photon-combined,4,10.745469091196195,14,120.68352673090327,136.0470699770249,0.009628549371402487
1.0,ALP-photon-combined,4,10.745469091196195,15,136.0470699770249,153.3664597870422,0.006202086459742071
1.0,ALP-photon-combined,4,10.745469091196195,16,153.3664597870422,172.89068402268873,0.0042385003065775455
1.0,ALP-photon-combined,4,10.745469091196195,17,172.89068402268873,194.9004277945695,0.002871554469264309
1.0,ALP-photon-combined,4,10.745469091196195,18,194.9004277945695,219.71210866122348,0.0019190168701494284
1.0,ALP-photon-combined,4,10.745469091196195,19,219.71210866122348,247.6824255267556,0.001177266460284864
1.0,ALP-photon-combined,4,10.745469091196195,20,247.6824255267556,400.0,0.0011241115921699339
1.0,ALP-photon-combined,5,10.940362798889787,0,1.0,25.41630393831867,0.27427360132366074
1.0,ALP-photon-combined,5,10.940362798889787,1,25.41630393831867,28.651911110982937,0.07663159723617949
1.0,ALP-photon-combined,5,10.940362798889787,2,28.651911110982937,32.299425294249666,0.08000797119507001
1.0,ALP-photon-combined,5,10.940362798889787,3,32.299425294249666,36.411284060521595,0.08124014011356379
1.0,ALP-photon-combined,5,10.940362798889787,4,36.411284060521595,41.046600515583364,0.07975612123694276
1.0,ALP-photon-combined,5,10.940362798889787,5,41.046600515583364,46.27201312333376,0.07671912205151418
1.0,ALP-photon-combined,5,10.940362798889787,6,46.27201312333376,52.16264371694075,0.06845908196820165
1.0,ALP-photon-combined,5,10.940362798889787,7,52.16264371694075,58.80317746902607,0.05839956770565348
1.0,ALP-photon-combined,5,10.940362798889787,8,58.80317746902607,66.28908034679972,0.05039566395896174
1.0,ALP-photon-combined,5,10.940362798889787,9,66.28908034679972,74.72797155458294,0.039373298752288496
1.0,ALP-photon-combined,5,10.940362798889787,10,74.72797155458294,84.24117069429447,0.031064575491892937
1.0,ALP-photon-combined,5,10.940362798889787,11,84.24117069429447,94.96544188626557,0.02452892137734974
1.0,ALP-photon-combined,5,10.940362798889787,12,94.96544188626557,107.05495992429856,0.01839880542853821
1.0,ALP-photon-combined,5,10.940362798889787,13,107.05495992429856,120.68352673090327,0.013605457918558233
1.0,ALP-photon-combined,5,10.940362798889787,14,120.68352673090327,136.0470699770249,0.00961654874285249
1.0,ALP-photon-combined,5,10.940362798889787,15,136.0470699770249,153.3664597870422,0.00620475322216235
1.0,ALP-photon-combined,5,10.940362798889787,16,153.3664597870422,172.89068402268873,0.004240004310764746
1.0,ALP-photon-combined,5,10.940362798889787,17,172.89068402268873,194.9004277945695,0.002867230044424585
1.0,ALP-photon-combined,5,10.940362798889787,18,194.9004277945695,219.71210866122348,0.001919702245209882
1.0,ALP-photon-combined,5,10.940362798889787,19,219.71210866122348,247.6824255267556,0.001175731003226097
