mass_GeV,model,lifetime_index,ctau_m,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,template_total_N_eff,number_of_common_energy_bins,passes_N_events_threshold
0.5,ALP-photon-combined,0,4.999999999999999,1913.3341495182856,6159.936083930912,0.31060941598233394,638324.2761804141,19,True
0.5,ALP-photon-combined,1,5.802590372463091,1503.3186271806844,5049.631551004307,0.29770857774399273,627598.4946681212,19,True
0.5,ALP-photon-combined,2,6.734011006120271,1167.5058939350774,4101.650888094669,0.2846429220302112,615182.1024725169,19,True
0.5,ALP-photon-combined,3,7.814941486434795,906.9820380276284,3303.1883150881117,0.2745777568553293,604655.0066135485,19,True
0.5,ALP-photon-combined,4,9.069380846109791,698.7763378916254,2638.702315409002,0.2648181774090399,594153.7605672682,19,True
0.5,ALP-photon-combined,5,10.525180396367567,537.039849382527,2091.7268704184294,0.2567447294278423,585018.5550186484,19,True
0.5,ALP-photon-combined,6,12.214662087279939,410.31008433955253,1646.466586564406,0.24920644469058112,576003.5270591583,19,True
0.5,ALP-photon-combined,7,14.175336126108105,312.42624384893753,1287.6767960636375,0.24262784326316097,567552.5210545097,19,True
0.5,ALP-photon-combined,8,16.450733786356633,237.6216322969307,1001.1444092128735,0.23735000676251608,561464.9360234262,19,True
0.5,ALP-photon-combined,9,19.091373897733256,179.91887042419876,774.1704567768195,0.2324021394116133,554381.5901845553,19,True
0.5,ALP-photon-combined,10,22.155884475216027,136.05773588807972,595.772340912033,0.2283720249244819,548847.1145492067,19,True
0.5,ALP-photon-combined,11,25.71230438985861,102.35423232740321,456.4948044277204,0.22421773771493073,543652.1965594551,19,True
0.5,ALP-photon-combined,12,29.839593981286804,77.11490108175087,348.42903858607497,0.22132168258616775,539486.4821909589,19,True
0.5,ALP-photon-combined,13,34.62938815080447,57.90591145210462,265.00843188207136,0.21850592089036897,534995.2389848013,19,True
0.5,ALP-photon-combined,14,40.188030857629116,43.37182075372843,200.94486793443923,0.21583940510428476,532222.2665983469,19,True
0.5,ALP-photon-combined,15,46.63893618854568,32.519579168614946,151.96184923758184,0.21399831162736663,529147.2610705663,19,True
0.5,ALP-photon-combined,16,54.125328421915114,24.294534016231733,114.6442366364634,0.2119123885247685,525690.4832482963,19,True
0.5,ALP-photon-combined,17,62.813421921481506,18.15902253901274,86.31294220133735,0.2103858595928083,524059.2686174522,19,True
0.5,ALP-photon-combined,18,72.89611146061016,13.564329989158583,64.86135751712956,0.209128061890723,521544.59531810076,19,True
0.5,ALP-photon-combined,19,84.59725491026656,10.092721276778686,48.66199849902388,0.20740457827643757,520675.4850839424,19,True
0.5,ALP-SU2L,0,4.999999999999999,36510.957950372496,56505.6385950592,0.6461471608528105,376834.0777620894,19,True
0.5,ALP-SU2L,1,6.215947142787869,24052.652130501552,37238.93276104869,0.645900683696828,375357.4049791775,19,True
0.5,ALP-SU2L,2,7.727599776386536,15768.85618776055,24458.004967163655,0.6447319071580527,373743.79154710984,19,True
0.5,ALP-SU2L,3,9.606870350127615,10318.868968766456,16018.846381415697,0.6441705428137394,372671.9936661532,19,True
0.5,ALP-SU2L,4,11.943159660801848,6729.798885371036,10468.425626535818,0.642866379860602,371444.76874696166,19,True
0.5,ALP-SU2L,5,14.84760983388412,4388.281065468484,6829.294118071057,0.6425672975273702,370972.4215471138,19,True
0.5,ALP-SU2L,6,18.458391584832217,2853.258516020479,4448.980201272612,0.6413286611624651,369950.38684891333,19,True
0.5,ALP-SU2L,7,22.947277286439505,1855.0523941693014,2894.997892189286,0.6407784956162624,369531.78315083875,19,True
0.5,ALP-SU2L,8,28.527812536680912,1205.1361856911972,1882.2325117653984,0.6402695618942775,369304.3780512874,19,True
0.5,ALP-SU2L,9,35.46547496547396,781.5073346618341,1222.7633327771237,0.6391321310616055,368781.97690705094,19,True
0.5,ALP-SU2L,10,44.09030355585049,506.6846583499607,793.8455623383092,0.638266033581516,368577.04848829523,19,True
0.5,ALP-SU2L,11,54.81259928252777,328.705335028456,515.1008977642078,0.638137763795791,368361.99385474465,19,True
0.5,ALP-SU2L,12,68.14244397980099,212.96619788122558,334.0865435819939,0.6374581735554335,368274.0879597498,19,True
0.5,ALP-SU2L,13,84.71396599176529,138.1241155052318,216.60694975892073,0.6376716705487114,368243.0264341617,19,True
0.5,ALP-SU2L,14,105.31550697214851,89.45567004254454,140.38956897331406,0.6371959875419855,368046.9077613051,19,True
0.5,ALP-SU2L,15,130.92712493095644,57.892443952966815,90.9672804599738,0.6364095272523825,368066.2997514526,19,True
0.5,ALP-SU2L,16,162.76721762560175,37.49255726730605,58.930064386394555,0.6362212167540431,367720.53776289936,19,True
0.5,ALP-SU2L,17,202.35048426787822,24.261031274661335,38.16810775672526,0.6356362078333976,367927.8769563107,19,True
0.5,ALP-SU2L,18,251.55998290533202,15.72395843508309,24.71666105555063,0.6361683885919516,368009.378766691,19,True
0.5,ALP-SU2L,19,312.7367113960327,10.167036067474632,16.003648032330908,0.6352949056949372,367635.5123491039,19,True
