model,plot_label,mass_GeV,ctau_m,weighted_mean_energy_GeV,weighted_median_energy_GeV,energy_q16_GeV,energy_q84_GeV,fraction_below_1_GeV,effective_sample_size,accepted_samples,normalization,range_coverage,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,visible_Br,N_events,N_events_primary,N_events_cascade,cascade_event_fraction
ALP-photon-combined,"ALP-photon, primary + cascade",0.3,100,4.957343993093211,2.9347026027160936,1.5842974995307173,7.148600943433286,0.029155640437847737,728048.8155900175,1707154,1.0,1.0,24381.443959004602,,,,0.9999999999999996,485.0172564947921,69.03569589680139,415.9815605979907,0.8576634233682309
ALP-SU2L,ALP-$SU(2)_L$,0.3,100,71.80059229508733,66.155550797061,43.929469385247714,99.91716406043453,0.0011012810684132783,479177.1045845355,613247,1.000000000000004,1.0,1093705.4179887085,0.30451158975863324,0.613247,0.0020847535204396596,1.0,425.7889027557946,,,0.0
