model,plot_label,mass_GeV,ctau_m,weighted_mean_energy_GeV,weighted_median_energy_GeV,energy_q16_GeV,energy_q84_GeV,fraction_below_1_GeV,effective_sample_size,accepted_samples,normalization,range_coverage,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,visible_Br,N_events,reference_ctau_m,is_reference,weighted_mean_gamma,ctau_times_weighted_mean_gamma_m,N_events_ge_10,total_variation_distance_to_reference,binned_cdf_max_distance_to_reference,nonempty_bins_with_low_N_eff,common_ctau_lower_m,common_ctau_upper_m
ALP-SU2L,ALP-$SU(2)_L$,0.3,3.0,72.85460336739918,67.17915103096061,44.73612171817004,101.1280924900918,8.323291739762869e-07,536646.9805416088,612284,0.9999999999999968,1.0,36456847.266290285,0.30451158975863324,0.612284,0.06346221426322984,1.0,431371.1211385267,1000.0,False,242.8486778913306,728.5460336739918,True,0.015835909487350874,0.01583590948735092,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,4.509300546162,72.520113588907,66.83272929109553,44.48956565676905,100.73624933075864,6.739502298440896e-06,532005.061956106,612599,0.9999999999999982,1.0,24254436.06591257,0.30451158975863324,0.612599,0.04353809449027014,1.0,196988.42556884684,1000.0,False,241.73371196302332,1090.0499593806287,True,0.010853284398503275,0.010853284398503249,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,6.777930471871,72.29418012772977,66.60910278597096,44.31491378119002,100.45981337996477,3.137367308048488e-05,528770.352134902,612819,1.0000000000000056,1.0,16136273.7863376,0.30451158975863324,0.612819,0.02956824738731724,1.0,89035.84516522581,1000.0,False,240.9806004257659,1633.3497547555685,True,0.007497591985593942,0.00749759198559391,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,10.187908526217,72.14039634234497,66.45608091716466,44.19370474561284,100.27689706491985,9.738800447905397e-05,526290.1749475433,612971,0.9999999999999989,1.0,10735328.2096539,0.30451158975863324,0.612971,0.019944841666682787,1.0,39965.907094687565,1000.0,False,240.46798780781657,2449.8658632695,True,0.005230418932282725,0.005230418932282654,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,15.313447160505,72.03151307066481,66.35578554214831,44.10958097167637,100.14620412326904,0.00022253585955263607,523329.53830112936,613067,1.0000000000000022,1.0,7142124.2162214825,0.30451158975863324,0.613067,0.013393038003766119,1.0,17857.401638996074,1000.0,False,240.10504356888273,3676.8358976628365,True,0.003671881631703434,0.0036718816317033998,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,23.017645214827,71.95233323491712,66.28326440695375,44.045915466931014,100.06162458019317,0.0004031046637936145,518188.748462323,613146,0.9999999999999983,1.0,4751595.603203535,0.30451158975863324,0.613146,0.008966479722690995,1.0,7954.798230577701,1000.0,False,239.84111078305708,5520.5775959344255,True,0.002595356041880377,0.0025953560418803256,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,34.597826712857,71.89378570446239,66.23024759943601,44.00210511877884,100.00062978421367,0.0006138199554726331,509718.3287159147,613188,0.9999999999999983,1.0,3161196.878248637,0.30451158975863324,0.613188,0.005990851962759987,1.0,3536.2064034423706,1000.0,False,239.64595234820797,8291.229131780885,True,0.00183266365443773,0.0018326636544377384,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,52.003999630763,71.84882748199021,66.19306914008199,43.96324747363947,99.95670248636014,0.0008229517554406371,498464.79050082795,613225,1.0000000000000016,1.0,2103117.886612949,0.30451158975863324,0.613225,0.003997347306909573,1.0,1569.8536922483686,1000.0,False,239.49609160663405,12454.754659480579,True,0.0012581078650102256,0.0012581078650102384,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,78.167221312528,71.81581037549485,66.16551842790996,43.938832645721575,99.92959566341537,0.0010070443900939258,486235.81283137295,613243,0.9999999999999999,1.0,1399186.768601967,0.30451158975863324,0.613243,0.002664704580841697,1.0,696.2435489727656,1000.0,False,239.38603458498284,18712.141144532834,True,0.0008444444909699678,0.0008444444909699311,6,3.0,265.45350016020666
ALP-SU2L,ALP-$SU(2)_L$,0.3,117.493164585503,71.79210236510208,66.14835061430026,43.92411292455562,99.91103176849465,0.0011556071573422624,474879.1245491533,613254,1.0000000000000016,1.0,930867.2737236464,0.30451158975863324,0.613254,0.0017752009498518402,1.0,308.5883313031024,1000.0,False,239.3070078836736,28116.937663740726,True,0.0005500247551752106,0.0005500247551751825,6,3.0,265.45350016020666
