mass_GeV,ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
0.3,245.299828267079,0,0.3,25.976657688501856,0.9824895398863237,0.007978112129890557,-4.8133878889889035
0.3,245.299828267079,1,25.976657688501856,29.99729169014488,0.004616854224070462,0.014836908307305621,1.1674043116547785
0.3,245.299828267079,2,29.99729169014488,34.64023430319652,0.003450641717778319,0.03153984186194019,2.212691348733708
0.3,245.299828267079,3,34.64023430319652,40.00180566216164,0.0026662215931302588,0.055282776693602424,3.0317990713159384
0.3,245.299828267079,4,40.00180566216164,46.19323420932204,0.002004908726871248,0.08358392826632821,3.7302527190261565
0.3,245.299828267079,5,46.19323420932204,53.3429641836316,0.0014873583498760566,0.1097061025521873,4.300803368268608
0.3,245.299828267079,6,53.3429641836316,61.59932025980484,0.0010826448852722201,0.12976920076392925,4.786350478718044
0.3,245.299828267079,7,61.59932025980484,71.13358461685092,0.0007567771169599206,0.13688613829448387,5.197835971204168
0.3,245.299828267079,8,71.13358461685092,82.14355027135687,0.0005022617537603848,0.12884378018944267,5.547234537567739
0.3,245.299828267079,9,82.14355027135687,94.85762439117252,0.0003495673974584134,0.10867153087274944,5.739388750576779
0.3,245.299828267079,10,94.85762439117252,109.53956671476264,0.00022904989079206413,0.08175681152567973,5.877564563157317
0.3,245.299828267079,11,109.53956671476264,126.49396137707384,0.00015458624563248876,0.05514709445797845,5.877007174194463
0.3,245.299828267079,12,126.49396137707384,146.07253565764043,8.654364519098159e-05,0.03236210308601102,5.9240945039899255
0.3,245.299828267079,13,146.07253565764043,168.68145673647828,5.290751826138724e-05,0.015521364731182069,5.681427272672168
0.3,245.299828267079,14,168.68145673647828,194.78975783256428,3.244605873621202e-05,0.005989857150372786,5.218243863544754
0.3,245.299828267079,15,194.78975783256428,224.93906852930118,1.961527886047966e-05,0.001712892469336895,4.469629926797846
0.3,245.299828267079,16,224.93906852930118,259.7548511473678,1.0767437760435617e-05,0.00035882313691593045,3.506303054651417
0.3,245.299828267079,17,259.7548511473678,400.0,7.30827326508127e-06,5.2733510663736684e-05,1.9762440990248202
