mass_GeV,ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
0.5,136.317319713746,0,0.5,24.14138581622472,0.9301779498309426,0.011664324142614464,-4.378840946862794
0.5,136.317319713746,1,24.14138581622472,27.594593229224305,0.016035533271444313,0.007992870454999695,-0.6962571381022179
0.5,136.317319713746,2,27.594593229224305,31.541750804321904,0.012719104298268938,0.01936142246317655,0.4201774148571156
0.5,136.317319713746,3,31.541750804321904,36.05351365528748,0.010107558900065088,0.03619564002529963,1.275655120409852
0.5,136.317319713746,4,36.05351365528748,41.21064347239382,0.007955750349008476,0.05819916231456659,1.9899759798721182
0.5,136.317319713746,5,41.21064347239382,47.10545417699352,0.006282411547394913,0.08129652835945834,2.5603494029047975
0.5,136.317319713746,6,47.10545417699352,53.84346436393915,0.00476126294400966,0.10429079909334212,3.0866701849049583
0.5,136.317319713746,7,53.84346436393915,61.54528611098124,0.0036509509607770075,0.11913105060490885,3.485236481891226
0.5,136.317319713746,8,61.54528611098124,70.34878396530846,0.002627969963343361,0.12494777647188489,3.8616841906961237
0.5,136.317319713746,9,70.34878396530846,80.41154275363142,0.001823570427449282,0.12027006399030347,4.188943394729622
0.5,136.317319713746,10,80.41154275363142,91.91368839023166,0.0013193998193778015,0.10390306365522028,4.366281433336811
0.5,136.317319713746,11,91.91368839023166,105.06111217615067,0.0009305500136556812,0.0821990173640837,4.48112280289977
0.5,136.317319713746,12,105.06111217615067,120.0891563052843,0.0006056128521593076,0.05828410611630262,4.5668437887187014
0.5,136.317319713746,13,120.0891563052843,137.26682654886946,0.0004053079424200332,0.037607291653807697,4.530306107699486
0.5,136.317319713746,14,137.26682654886946,156.90160752647654,0.0002337081904297617,0.02076278662645474,4.486844271134082
0.5,136.317319713746,15,156.90160752647654,179.34496675806818,0.00014746046295499089,0.00929023181340916,4.1431586924149
0.5,136.317319713746,16,179.34496675806818,204.9986460210415,0.00010086367875294896,0.003382670725520652,3.512650942110286
0.5,136.317319713746,17,204.9986460210415,234.3218526291303,6.082225995602632e-05,0.000977519725002202,2.77706263102112
0.5,136.317319713746,18,234.3218526291303,400.0,5.4212287589928504e-05,0.0002436743996444852,1.5029253154127553
