mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.4,108.21143906831625,high,1,0.8923,0.97915,0.9357249999999999,0.8923,-4.390354770059588,2.8524557393702334
0.4,108.21143906831625,high,2,0.9841,0.9762,0.98015,0.9762,-8.780709540119176,5.704911478740467
0.4,108.21143906831625,high,3,0.9916,0.9926,0.9921,0.9916,-13.171064310178764,8.357257353111732
0.4,108.21143906831625,high,4,0.99705,0.9982,0.997625,0.99705,-17.561419080238352,11.022423773006972
0.4,108.21143906831625,high,5,0.999,0.99925,0.999125,0.999,-18.604991310027216,13.697033606875245
0.4,108.21143906831625,high,6,0.99955,0.99965,0.9996,0.99955,-21.923591201259235,16.35520983975972
0.4,108.21143906831625,high,7,0.9999,0.99985,0.9998750000000001,0.99985,-26.313945971318823,19.004687326460918
0.4,108.21143906831625,high,8,0.9999,0.99995,0.999925,0.9999,-29.923476612192278,21.651743614533146
0.4,108.21143906831625,high,9,0.99995,1.0,0.9999750000000001,0.99995,-33.64292868095976,24.309958152555016
0.4,108.21143906831625,high,10,0.99995,1.0,0.9999750000000001,0.99995,-37.497546835173594,26.93036532189825
0.4,108.21143906831625,high,11,1.0,1.0,1.0,1.0,-41.051091961225644,29.6100460068973
0.4,108.21143906831625,high,12,1.0,1.0,1.0,1.0,-44.91893728134604,32.243876371047634
0.4,108.21143906831625,high,13,1.0,1.0,1.0,1.0,-48.52846792221949,34.91406170906555
0.4,108.21143906831625,high,14,1.0,1.0,1.0,1.0,-51.84706781345151,37.51859572394702
0.4,108.21143906831625,high,15,1.0,1.0,1.0,1.0,-55.51155916827199,40.16767575388385
0.4,108.21143906831625,high,16,1.0,1.0,1.0,1.0,-59.17605052309245,42.78952970887284
0.4,108.21143906831625,high,17,1.0,1.0,1.0,1.0,-62.97468316248488,45.42229909096393
0.4,108.21143906831625,high,18,1.0,1.0,1.0,1.0,-66.63159657033316,48.03922472430925
0.4,108.21143906831625,high,19,1.0,1.0,1.0,1.0,-70.30366587212582,50.67100911878592
0.4,108.21143906831625,high,20,1.0,1.0,1.0,1.0,-73.87071981122048,53.34100049627487
0.4,108.21143906831625,high,21,1.0,1.0,1.0,1.0,-77.49011108347824,56.00222824028842
0.4,108.21143906831625,high,22,1.0,1.0,1.0,1.0,-81.0996417243517,58.65119443384472
0.4,108.21143906831625,high,23,1.0,1.0,1.0,1.0,-84.82443174229488,61.30788171780832
0.4,108.21143906831625,high,24,1.0,1.0,1.0,1.0,-88.50780500461757,63.96141655488992
0.4,108.21143906831625,high,25,1.0,1.0,1.0,1.0,-92.23401147990637,66.5803433517216
0.4,108.21143906831625,high,26,1.0,1.0,1.0,1.0,-95.83678771425852,69.26407852158317
0.4,108.21143906831625,high,27,1.0,1.0,1.0,1.0,-99.47116346794182,71.8473959008164
0.4,108.21143906831625,high,28,1.0,1.0,1.0,1.0,-103.0806941088153,74.48840004444834
0.4,108.21143906831625,high,29,1.0,1.0,1.0,1.0,-106.74802294355412,77.11045144117821
0.4,108.21143906831625,high,30,1.0,1.0,1.0,1.0,-110.40967681845622,79.7865536919586
0.4,108.21143906831625,high,31,1.0,1.0,1.0,1.0,-114.0719493511554,82.40125354190349
0.4,108.21143906831625,high,32,1.0,1.0,1.0,1.0,-117.76037891551775,85.03141570654152
0.4,108.21143906831625,high,33,1.0,1.0,1.0,1.0,-121.485961772516,87.69552985570215
0.4,108.21143906831625,high,34,1.0,1.0,1.0,1.0,-125.07347824231732,90.30360327320449
0.4,108.21143906831625,high,35,1.0,1.0,1.0,1.0,-128.66655784277367,92.90824714765527
0.4,108.21143906831625,high,36,1.0,1.0,1.0,1.0,-132.29285239078283,95.55756155854378
0.4,108.21143906831625,high,37,1.0,1.0,1.0,1.0,-135.96451804800947,98.22336115323898
