mass_GeV,common_bisection_diagnostic_lower_m,common_bisection_diagnostic_upper_m
0.3,3.0,275.42860634586657
0.4,4.0,143.58828780184922
0.5,5.0,85.07845199736937
0.6,6.0,54.62030183051474
0.75,7.5,30.849761048645433
0.9,9.0,18.96376235320581
1.0,10.0,14.080658221099586
1.05,10.500000000000002,12.10794402069928
