profile,selection_name,model,model_id,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,cascade_event_fraction,valid_mother_samples,samples_passing_ECAL,template_model_seed,spectrum_cache_key,scan_point_kind
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,547.0962325011368,3.0,4.978034645841465e-10,10.001252767402164,14.263459587962345,0.7011800121649818,True,,,10.001252767402164,0.0,613269,462344,54421,d5d2f78c08194c0964ac91b3ee1d93dcf64bd2c7b304c918d5bae4bba05ecf20,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,547.1139515818321,3.0,4.977873424952584e-10,10.000605121532379,14.262535994085004,0.7011800093391425,True,,,10.000605121532379,0.0,613269,462344,54421,5c9cca8e74bf43e5669a0e649a9ababdbe7e568d06ba30e76ea28a9b44b56e5d,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,547.1316712364041,3.0,4.977712209285075e-10,9.999957517596872,14.261612460003747,0.7011800065133901,False,,,9.999957517596872,0.0,613269,462344,54421,f1e76d3da8e0f54e157920f4585c370d4ef41d0efb66334a8812e2701f4f2860,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,547.167112267253,3.0,4.9773897936135e-10,9.998662435517854,14.25976557121401,0.701180000862147,False,,,9.998662435517854,0.0,613269,462344,54421,7f55d59fdb246043fd00c5c36d6b7e805135a372d530c4bc5128eae0e0246ce4,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,547.2380012162897,3.0,4.976745024919382e-10,9.996072774451738,14.256072511017306,0.7011799895607029,False,,,9.996072774451738,0.0,613269,462344,54421,37ea95238de0f4634137c916c2cb3c088f1b2e515e1675da0f2bddb374e269d0,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,547.5216488654388,3.0,4.974166785265009e-10,9.9857208348962,14.241309830795068,0.701179944368833,False,,,9.9857208348962,0.0,613269,462344,54421,e0716631853f81bac0c794071b16f230cfd6fbd63ab19999cfb8f8bb65361511,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,565.984259591258,3.0,4.811907670306636e-10,9.345015587433123,13.327610977889826,0.7011770979012121,False,,,9.345015587433123,0.0,613269,462344,54421,1a5317109fe291c2770a0b7623af7681e59cd9df53208a14d9ee2058afa11af3,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,604.7981701346998,3.0,4.503095635017266e-10,8.181261890337238,11.672336606297856,0.7009103803537508,False,,,8.181261890337238,0.0,613271,462219,54421,92b26b0a03bb03a17a6a1be6f6e34fad6bd2cbd0e3aba61d48dd54e52a3caa57,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,1000.0,3.0,2.723463999999997e-10,2.9914212550374124,4.270455954635789,0.7004922394270519,False,,,2.9914212550374124,0.0,613274,462118,54421,52620fe1e5d1fb16409fbf65b274ae7e832a67e133fb25b3531523daf927ee1c,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,3.0,3.0,4.844991835527848e-13,42039.87617726989,127707.0754663132,0.3291898747486332,True,18567.210575242272,23472.665602027617,,0.5583428814835285,1685910,773067,54321,e240731d8fbe98d51ad9841a399da4c187a7cc62e5dc13710dd7ab9fc04e7927,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,5.1,3.0,2.849995197369323e-13,18691.0061998123,71414.13648152765,0.261726979008519,True,7567.127957702504,11123.878242109793,,0.5951460356490333,1694847,786374,54321,e51f3317136b03d9cd9b33b04e1297bdab61a5285da39f768b95693bcaa48fdf,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,8.67,3.0,1.676467763158425e-13,7669.214823489139,35279.08359835004,0.21738701919819198,True,2904.7698090238937,4764.445014465246,,0.6212428682885223,1700241,794599,54321,5640d952afb8c3f411b9d5697d03ac066576767ea865bce23ca7df590308e2c8,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,14.738999999999999,3.0,9.861575077402501e-14,2968.9769794553367,15638.729657532856,0.189847707868346,True,1073.7253139877807,1895.2516654675562,,0.6383517550261515,1703442,800400,54321,2dfbb74f26c7efc903d752c5e7a4c642c6753249467064bcf2dcc50cabee1704,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,25.056299999999997,3.0,5.800926516119119e-14,1098.9574673406114,6374.009847007901,0.17241226382109937,True,387.20959792454937,711.7478694160621,,0.647657339404076,1705404,803239,54321,1a16ab296fe816cc3e7c4890222b4045a647c9cfead80d6d7b360ca6b1cc6496,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,42.59570999999999,3.0,3.412309715364188e-14,396.76875953403896,2447.076062655156,0.16213993736816343,True,137.0994194020333,259.6693401320057,,0.6544601455945237,1706592,805019,54321,d36c906c6b6f51f7cd6e294313a82c941d9c4de8deeffa19267682e7b182beaf,coarse
