mass_GeV,ctau_m,lifetime_label,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
1.0,13.773613035277583,mid,0,1.0,3.314454017339987,0.0003601088140213992,0.0034594762692855925,2.2624662423870867
1.0,13.773613035277583,mid,1,3.314454017339987,4.212058534714722,0.0008721190240386755,0.003635188179478998,1.4274902473461575
1.0,13.773613035277583,mid,2,4.212058534714722,4.748272094313281,0.0009044958239375928,0.0022541819905617065,0.9131647446543197
1.0,13.773613035277583,mid,3,4.748272094313281,5.352747996214929,0.001622435026361223,0.0021666877585576113,0.28927149949672204
1.0,13.773613035277583,mid,4,5.352747996214929,6.034176336545162,0.0029269264434796673,0.002145204919727492,-0.3107177955593794
1.0,13.773613035277583,mid,5,6.034176336545162,6.802353498851244,0.005244408114983019,0.002016820376671076,-0.9556401876965293
1.0,13.773613035277583,mid,6,6.802353498851244,7.668322989352109,0.009162616619941392,0.001521665648125973,-1.795326239072649
1.0,13.773613035277583,mid,7,7.668322989352109,9.745021389728478,0.036603951305576254,0.001497277069999603,-3.196508021937177
1.0,13.773613035277583,mid,8,9.745021389728478,20.000000000000004,0.3091556812803926,0.0011285001499280207,-5.612955522804021
1.0,13.773613035277583,mid,9,20.000000000000004,22.546087881634225,0.07073616021654745,0.001447120510677328,-3.889381174771001
1.0,13.773613035277583,mid,10,22.546087881634225,25.41630393831867,0.07394613960428288,0.004324959269636962,-2.838934262097837
1.0,13.773613035277583,mid,11,25.41630393831867,28.651911110982937,0.07078131825903516,0.010021371932445892,-1.9548750937931123
1.0,13.773613035277583,mid,12,28.651911110982937,32.299425294249666,0.06472668524397643,0.020130646671711033,-1.1679301983753065
1.0,13.773613035277583,mid,13,32.299425294249666,36.411284060521595,0.05970276030829152,0.03448094789221053,-0.5489713191584706
1.0,13.773613035277583,mid,14,36.411284060521595,41.046600515583364,0.055199657050238216,0.0522761254596384,-0.05441696572666402
1.0,13.773613035277583,mid,15,41.046600515583364,46.27201312333376,0.048124574841155364,0.0716725783764929,0.39831526693241903
1.0,13.773613035277583,mid,16,46.27201312333376,52.16264371694075,0.041470096611743466,0.08896735581742153,0.7632969099469633
1.0,13.773613035277583,mid,17,52.16264371694075,58.80317746902607,0.034478528502943355,0.10352273685701743,1.0994545003012794
1.0,13.773613035277583,mid,18,58.80317746902607,66.28908034679972,0.028855529593281568,0.11020702385220477,1.340058990403684
1.0,13.773613035277583,mid,19,66.28908034679972,74.72797155458294,0.02196740591817358,0.1090245503046213,1.6020132834154692
1.0,13.773613035277583,mid,20,74.72797155458294,84.24117069429447,0.017227201230397022,0.10085185880466846,1.7671630941092424
1.0,13.773613035277583,mid,21,84.24117069429447,94.96544188626557,0.013570931236240369,0.08656426696188133,1.852957012606308
1.0,13.773613035277583,mid,22,94.96544188626557,107.05495992429856,0.010075404793800247,0.06843729076228924,1.9158205775811483
1.0,13.773613035277583,mid,23,107.05495992429856,120.68352673090327,0.007428604833970643,0.049230258772896364,1.8911703837662168
1.0,13.773613035277583,mid,24,120.68352673090327,136.0470699770249,0.005230004350242635,0.033048948189958176,1.8435776311162768
1.0,13.773613035277583,mid,25,136.0470699770249,153.3664597870422,0.0033377581095359286,0.019636848333710648,1.772108461315729
1.0,13.773613035277583,mid,26,153.3664597870422,172.89068402268873,0.0023200869679450564,0.009930001926062672,1.4539560008622345
1.0,13.773613035277583,mid,27,172.89068402268873,194.9004277945695,0.0015784719651228808,0.004327472030878007,1.0085262765303429
1.0,13.773613035277583,mid,28,194.9004277945695,219.71210866122348,0.001090587368470564,0.001528721421796623,0.33771529274832335
1.0,13.773613035277583,mid,29,219.71210866122348,247.6824255267556,0.000650487161648538,0.0004464685119946715,-0.3763526856481645
1.0,13.773613035277583,mid,30,247.6824255267556,400.0,0.0006488633802254604,9.744497744981175e-05,-1.8959343015575276
