mass_GeV,ctau_m,number_of_adaptive_bins,minimum_bin_N_eff,photon_expected_events,su2_expected_events,photon_template_total_N_eff,su2_template_total_N_eff,model_total_variation_distance,KL_photon_to_su2_per_event,KL_su2_to_photon_per_event,minimum_events_for_90pct_worst_case_accuracy,minimum_events_for_95pct_worst_case_accuracy,minimum_events_for_99pct_worst_case_accuracy
0.3,245.299828267079,18,100.0,83.99330177311084,70.89842039767066,700818.1759379334,459427.7550416084,0.9745114277564332,4.676833999178786,4.795799436373935,1,1,2
0.4,153.640026821353,18,100.0,49.44848078094355,102.25653230221313,849273.0940167392,341572.65637769556,0.95149607774327,4.177726916652693,4.04020973013872,1,1,3
0.5,136.317319713746,19,100.0,19.22024144527721,83.9362149820055,996260.5219335211,358600.6703442497,0.9265562885047729,3.9721061538463696,3.450228206822005,1,2,3
