reference,path,event_level,number_of_points,minimum_mass_GeV,maximum_mass_GeV,minimum_coupling_GeV_inv,maximum_coupling_GeV_inv,decay_description,production_modes
geom_only,/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/event_density_scan/reference_curves/Sensitivity_ALP-photon_at_SHiP-ECN3-geom-only_Nev=2.3_Npot=6.e20.json,2.3,2641,0.021000000539878962,2.552197739026944,2.6917574735381094e-08,0.006751051456175806,Default,Eta; Photon-fusion-W; Pi0; Primakov-cascades-W; Primakov-primary-W
baseline,/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/event_density_scan/reference_curves/Sensitivity_ALP-photon_at_SHiP-ECN3-baseline_Nev=2.3_Npot=6.e20.json,2.3,2628,0.021000000539878962,2.46528790265728,3.514980975704217e-08,0.006751051456175806,Default,Eta; Photon-fusion-W; Pi0; Primakov-cascades-W; Primakov-primary-W
