reference,branch,mass_GeV,eventcalc_coupling_GeV_inv,reference_coupling_GeV_inv,log10_reference_over_eventcalc_dex,absolute_log_distance_dex,coupling_ratio_reference_over_eventcalc
geom_only,lower,0.02111790157188495,1.1218108164643684e-07,1.3022211682252226e-07,0.06476512758454951,0.06476512758454951,1.1608206563112458
geom_only,lower,0.02128679297200014,1.1157297021539282e-07,1.2952042698492993e-07,0.0647792727613527,0.0647792727613527,1.1608584654051008
geom_only,lower,0.021457035088943695,1.1096815523600635e-07,1.2881742225469807e-07,0.06477623803923646,0.06477623803923646,1.160850353695887
geom_only,lower,0.021628638725136276,1.103666188388662e-07,1.2812222031135877e-07,0.0647867183927495,0.0647867183927495,1.1608783675652463
geom_only,lower,0.021801614769391423,1.0976834325142672e-07,1.274353937258055e-07,0.06481295569744103,0.06481295569744103,1.1609485025560788
geom_only,lower,0.021975974197606423,1.0917331079748441e-07,1.2674634621079246e-07,0.064818967580571,0.064818967580571,1.1609645735293848
geom_only,lower,0.022151728073458863,1.0858150389665497e-07,1.2606607686560335e-07,0.06484238543301582,0.06484238543301582,1.1610271762821571
geom_only,lower,0.02232888754910858,1.0797468951970363e-07,1.2538760563473945e-07,0.06493264538669319,0.06493264538669319,1.1612684990574411
geom_only,lower,0.022507463865905335,1.0731796913176065e-07,1.2470563556391597e-07,0.06521363453676708,0.06521363453676708,1.162020084547141
geom_only,lower,0.022687468355102106,1.0666524302868049e-07,1.2403893557077415e-07,0.06553510351717404,0.06553510351717404,1.16288054148456
geom_only,lower,0.022868912438574106,1.060164869165449e-07,1.2337330815862636e-07,0.06584780130600712,0.06584780130600712,1.1637181324046757
geom_only,lower,0.023051807629543487,1.0537167664919512e-07,1.2269971761845125e-07,0.06611967274427141,0.06611967274427141,1.1644468563117287
geom_only,lower,0.023236165533309972,1.0473078822733346e-07,1.2204242348220336e-07,0.0664364510033151,0.0664364510033151,1.1652965240488067
geom_only,lower,0.02342199784798719,1.0409379779763022e-07,1.213904200456104e-07,0.06675956041634029,0.06675956041634029,1.1661638120035422
