model,mass_GeV,coupling_GeV_inv,coupling_squared_GeV_inv2,ctau_m,unit_coupling_ctau_m,yield_per_PoT_per_coupling_squared,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,sum_P_decay,visible_Br,sampled_inside_volume,N_events,N_events_gt_3,N_events_gt_10,N_events_gt_30,N_events_gt_100,log10_N_events
ALP-SU2L,0.01,5.972720546040737e-05,3.5673390721097155e-09,2061299.097551512,0.00735335281,6.699459267339989e-07,1433954.5683833684,0.3020837876658092,0.61133,3.3587086542822407e-09,0.0002053279361622,1.0,61133,0.0008894281116766,False,False,False,False,-3.0508891481577334
ALP-SU2L,0.01,7.132420407669372e-05,5.0871420871738525e-09,1445478.1651450072,0.00735335281,6.699459267339989e-07,2044866.0720115297,0.3020837876658092,0.61133,4.789628284744139e-09,0.0002928043459312,1.0,61133,0.001808713606675,False,False,False,False,-2.7426301942719307
ALP-SU2L,0.01,8.517294669924016e-05,7.254430849431606e-09,1013636.074644801,0.00735335281,6.699459267339989e-07,2916045.8390101013,0.3020837876658092,0.61133,6.830166426419946e-09,0.0004175485641463,1.0,61133,0.003678144265123,False,False,False,False,-2.434371240753698
ALP-SU2L,0.01,0.0001017106456825,1.0345055445153103e-08,710808.4484404785,0.00735335281,6.699459267339989e-07,4158376.65439062,0.3020837876658092,0.61133,9.740040476096004e-09,0.0005954378944251,1.0,61133,0.0074797608474594,False,False,False,False,-2.126112287735688
ALP-SU2L,0.01,0.0001214594051992,1.4752387111343993e-08,498451.7254394424,0.00735335281,6.699459267339989e-07,5929980.992908831,0.3020837876658092,0.61133,1.3889615918493142e-08,0.0008491138899452,1.0,61133,0.0152106111701727,False,False,False,False,-1.8178533354209712
ALP-SU2L,0.01,0.0001450427043536,2.1037386086211373e-08,349537.3797802591,0.00735335281,6.699459267339989e-07,8456346.670552688,0.3020837876658092,0.61133,1.9807046014971693e-08,0.0012108641440332,1.0,61133,0.0309318300852451,False,False,False,False,-1.5095943841542474
ALP-SU2L,0.01,0.0001732050807568,3.000000000000001e-08,245111.7603333333,0.00735335281,6.699459267339989e-07,12059026.681211986,0.3020837876658092,0.61133,2.82454945344946e-08,0.0017267318173772,1.0,61133,0.0629020161308167,False,False,False,False,-1.201335434356701
ALP-SU2L,0.01,0.0002068356359852,4.2780980313418864e-08,171883.69121344137,0.00735335281,6.699459267339989e-07,17196566.10159742,0.3020837876658092,0.61133,4.027899753727384e-08,0.0024623759564461,1.0,61133,0.1279156003175673,False,False,False,False,-0.8930764866497417
ALP-SU2L,0.01,0.0002469961050014,6.10070758859044e-08,120532.78579934336,0.00735335281,6.699459267339989e-07,24522865.19502818,0.3020837876658092,0.61133,5.7439165368522746e-08,0.0035114284964739,1.0,61133,0.2601252185363027,False,False,False,False,-0.5848175419208433
ALP-SU2L,0.01,0.0002949543757066,8.699808374847086e-08,84523.15836358006,0.00735335281,6.699459267339989e-07,34970407.10457081,0.3020837876658092,0.61133,8.19101240734732e-08,0.0050074116149836,1.0,61133,0.528982614208809,False,False,False,False,-0.2765586014567924
ALP-SU2L,0.01,0.0003522245168519,1.2406211027161654e-07,59271.54385735396,0.00735335281,6.699459267339989e-07,49868943.26309623,0.3020837876658092,0.61133,1.1680650804974125e-07,0.0071407322566048,1.0,61133,1.0757226992445816,False,False,False,False,0.0317003329392247
ALP-SU2L,0.01,0.0004206145780153,1.769166232390401e-07,41563.94506843234,0.00735335281,6.699459267339989e-07,71114742.66631708,0.3020837876658092,0.61133,1.665698862632614e-07,0.0101829168569319,1.0,61133,2.1875563988573465,False,False,False,False,0.3399592586757379
ALP-SU2L,0.01,0.0005022836707116,2.522888858635305e-07,29146.558655689725,0.00735335281,6.699459267339989e-07,101411946.86671863,0.3020837876658092,0.61133,2.375340782319561e-07,0.0145211708045541,1.0,61133,4.448546884357013,True,False,False,False,0.6482181720674264
ALP-SU2L,0.01,0.0005998101327204,3.597721953140691e-07,20438.91358413836,0.00735335281,6.699459267339989e-07,144616750.08168554,0.3020837876658092,0.61133,3.387313115217819e-07,0.020707661267261,1.0,61133,9.046426684284508,True,False,False,False,0.9564770678516548
ALP-SU2L,0.01,0.0007162729276155,5.13046906834889e-07,14332.710541740951,0.00735335281,6.699459267339989e-07,206228211.2745068,0.3020837876658092,0.61133,4.830418255190747e-07,0.0295297959194575,1.0,61133,18.396531080930384,True,True,False,False,1.264735938529108
ALP-SU2L,0.01,0.0008553488493233,7.31621654038794e-07,10050.75884428387,0.00735335281,6.699459267339989e-07,294088168.2202086,0.3020837876658092,0.61133,6.888332375207246e-07,0.0421104423093544,1.0,61133,37.41060859966909,True,True,True,False,1.5729947734034453
ALP-SU2L,0.01,0.0010214286005117,1.043316385943486e-06,7048.056475553444,0.00735335281,6.699459267339989e-07,419379337.8346051,0.3020837876658092,0.61133,9.822983192409276e-07,0.0600508431501556,1.0,61133,76.07703132206477,True,True,True,False,1.8812535572206213
ALP-SU2L,0.01,0.0012197554094669,1.4878032589238526e-06,4942.422841121331,0.00735335281,6.699459267339989e-07,598048639.8585626,0.3020837876658092,0.61133,1.4007887158445868e-06,0.0856344165657271,1.0,61133,154.7078206187549,True,True,True,True,2.189512268228922
