reference,number_of_mass_points,minimum_mass_GeV,maximum_mass_GeV,maximum_absolute_lower_distance_dex,mass_at_maximum_lower_distance_GeV,maximum_absolute_upper_distance_dex,mass_at_maximum_upper_distance_GeV,largest_lower_coupling_factor_difference,largest_upper_coupling_factor_difference,lower_branch_inside_fraction,upper_branch_inside_fraction,both_branches_inside_fraction,worst_lower_outward_violation_dex,worst_upper_outward_violation_dex,strictly_inside_with_tolerance,containment_tolerance_dex
geom_only,600,0.02111790157188495,2.4938843172024114,0.0689190692889179,0.02496317015383408,0.03461029778530555,2.4938843172024114,1.1719769474705957,1.08295471825358,0.9583333333333334,0.7933333333333333,0.7933333333333333,0.03989667611340232,0.03461029778530555,False,0.001
baseline,600,0.021009756478003905,2.4159821446041345,0.24463558216477216,0.12002242894575159,0.045974457745375154,2.4159821446041345,1.756449153547221,1.11166634468748,1.0,0.8766666666666667,0.8766666666666667,0.0,0.010910283766384182,False,0.001
