model,plot_label,mass_GeV,ctau_m,weighted_mean_energy_GeV,weighted_median_energy_GeV,energy_q16_GeV,energy_q84_GeV,fraction_below_1_GeV,effective_sample_size,accepted_samples,normalization,range_coverage,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,visible_Br,N_events,N_events_primary,N_events_cascade,cascade_event_fraction,reference_ctau_m,is_reference,weighted_mean_gamma,ctau_times_weighted_mean_gamma_m,N_events_ge_10,total_variation_distance_to_reference,binned_cdf_max_distance_to_reference,nonempty_bins_with_low_N_eff
ALP-SU2L,ALP-$SU(2)_L$,0.3,0.01,170.67651369300202,167.50168934749283,132.54314061128719,209.14922901242159,0.0,54178.90082908239,586728,1.0000000000000007,1.0,10937054179.887085,0.18499056784874918,0.586728,0.0004971742175875115,1.0,590194.7775162592,,,0.0,1000.0,False,568.9217123100068,5.689217123100068,True,0.8503670781031563,0.8503670781031564,1
ALP-SU2L,ALP-$SU(2)_L$,0.3,0.1,94.81167605484771,89.75323413841929,62.29426198669103,127.74750615682763,0.0,528274.5980434469,584238,1.0000000000000007,1.0,1093705417.9887085,0.3045188544591521,0.584238,0.2371684073150557,1.0,46148882.49708156,,,0.0,1000.0,False,316.03892018282573,31.603892018282576,True,0.3063249416083996,0.3063249416083997,2
ALP-SU2L,ALP-$SU(2)_L$,0.3,1.0,74.77301705396657,69.149378885752,46.20367918220776,103.53997003181269,1.5677243853538525e-10,559253.4013651224,609554,1.0000000000000004,1.0,109370541.79887086,0.30450866301287605,0.609554,0.15924014716417148,1.0,3232695.2998158033,,,0.0,1000.0,False,249.24339017988856,249.24339017988856,True,0.04411870953460633,0.04411843640463187,4
ALP-SU2L,ALP-$SU(2)_L$,0.3,10.0,72.14622737093643,66.46205180582677,44.19968963830335,100.28458495169477,9.315551963351329e-05,526402.5193069548,612966,1.0000000000000047,1.0,10937054.179887084,0.30451158975863324,0.612966,0.020309112552378557,1.0,41460.212367680855,,,0.0,1000.0,False,240.48742456978812,2404.874245697881,True,0.005313757661326583,0.005313757661326635,6
ALP-SU2L,ALP-$SU(2)_L$,0.3,100.0,71.80059229508733,66.155550797061,43.929469385247714,99.91716406043453,0.0011012810684132783,479177.1045845355,613247,1.000000000000004,1.0,1093705.4179887085,0.30451158975863324,0.613247,0.0020847535204396596,1.0,425.7889027557946,,,0.0,1000.0,False,239.3353076502911,23933.53076502911,True,0.0006556587948027085,0.000655658794802727,6
ALP-SU2L,ALP-$SU(2)_L$,0.3,1000.0,71.74619247581252,66.11550710498649,43.88463047610869,99.87686206728543,0.0014812807439461655,445954.50969722145,613274,1.0000000000000009,1.0,109370.54179887085,0.30451158975863324,0.613274,0.00020908145024253644,1.0,4.270455954635789,,,0.0,1000.0,True,239.1539749193751,239153.9749193751,False,0.0,0.0,6
ALP-photon-combined,"ALP-photon, primary + cascade",0.3,0.01,227.57238403222595,227.26771622352584,166.97374914534595,287.80887275539067,0.0,70403.33270164955,1993107,1.000000000000001,1.0,243814439.590046,,,,0.9999999999999996,7260.648819814453,7154.342386606591,106.30643320786183,0.014641450901433145,1000.0,False,758.5746134407532,7.585746134407532,True,0.9984781901200174,0.9984781901200175,0
ALP-photon-combined,"ALP-photon, primary + cascade",0.3,0.1,73.12572413179065,61.655039011668116,35.80312400764544,109.71559750477337,0.0,351588.44446898997,1778328,1.0000000000000002,1.0,24381443.959004603,,,,0.9999999999999996,350073.87482517044,295514.40903878486,54559.46578638557,0.1558512922840443,1000.0,False,243.7524137726355,24.37524137726355,True,0.9562096685079144,0.9562096685079146,0
ALP-photon-combined,"ALP-photon, primary + cascade",0.3,1.0,18.341403583244965,12.80601051781955,6.0962361528961715,29.125562995536285,3.576900724739986e-07,1166932.6792568737,1655092,1.0000000000000002,1.0,2438144.3959004604,,,,0.9999999999999996,291064.070531434,135692.5679486418,155371.50258279216,0.5338051594589122,1000.0,False,61.13801194414989,61.13801194414989,True,0.6552255805420845,0.6552255805420846,1
ALP-photon-combined,"ALP-photon, primary + cascade",0.3,10.0,6.412605430637175,3.8183391294101323,1.9897335540671406,9.560315163008243,0.007729457971873745,1019832.3114866386,1700837,0.9999999999999987,1.0,243814.439590046,,,,0.9999999999999996,28561.630301777997,5307.62303652798,23254.007265250017,0.8141694651023623,1000.0,False,21.37535143545725,213.7535143545725,True,0.1559259368134768,0.15592593681347666,2
